Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,EP,P_Arr,P_Dep,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5.00,5.00,210.00,200.00,210.00,0.00,10.00,1000,0,20,65,60,2026-06-18 22:00
a02,1,16,18,0.00,0.00,30.00,5.00,160.00,150.00,160.00,0.00,10.00,1000,0,20,65,60,2026-06-18 22:00
a03,1,28,28,200.40,200.40,30.00,5.00,161.60,420.00,362.00,0.00,0.00,1198,10,20,65,60,2026-06-18 22:00
a04,1,20,22,322.30,322.30,5.00,5.00,300.00,671.30,622.30,0.00,0.00,1135,10,20,65,60,2026-06-18 22:00
a05,0,25,30,616.20,0.00,0.00,0.00,342.90,1025.10,0.00,0.00,0.00,5149,30,60,65,60,2026-06-18 22:00
a06,1,28,28,636.50,636.50,26.00,5.00,262.80,931.30,899.30,0.00,0.00,5362,30,60,65,60,2026-06-18 22:00
a07,1,16,18,687.30,687.30,5.00,5.00,196.50,933.80,899.40,0.00,0.00,971,10,20,65,60,2026-06-18 22:00
a08,0,16,18,793.10,0.00,0.00,0.00,309.80,1162.90,0.00,0.00,0.00,1070,10,20,65,60,2026-06-18 22:00
a09,1,15,17,946.50,946.50,5.00,5.00,249.30,1228.80,1195.80,0.00,0.00,878,10,20,65,60,2026-06-18 22:00
a10,1,25,30,1070.40,1070.40,26.00,5.00,275.30,1388.70,1345.70,0.00,0.00,5330,30,60,65,60,2026-06-18 22:00
a11,0,48,49,1109.70,0.00,0.00,0.00,299.00,1476.70,0.00,0.00,0.00,5500,30,60,65,60,2026-06-18 22:00
a12,1,16,18,1220.20,1220.20,5.00,5.00,293.50,1557.70,1513.70,0.00,0.00,1022,10,20,65,60,2026-06-18 22:00
a13,1,25,30,1361.40,1361.40,35.00,5.00,329.30,1762.70,1690.70,0.00,0.00,5434,30,60,65,60,2026-06-18 22:00
a14,0,16,18,1569.90,0.00,0.00,0.00,383.90,2021.80,0.00,0.00,0.00,952,10,20,65,60,2026-06-18 22:00
a15,0,18,20,1573.50,0.00,0.00,0.00,305.70,1938.20,0.00,0.00,0.00,1017,10,20,65,60,2026-06-18 22:00
a16,1,25,30,1577.20,1577.20,5.00,5.00,184.90,1822.10,1762.10,0.00,0.00,5378,30,60,65,60,2026-06-18 22:00
a17,0,25,30,1909.60,0.00,0.00,0.00,371.00,2345.60,0.00,0.00,0.00,1143,10,20,65,60,2026-06-18 22:00
a18,1,28,28,2161.70,2161.70,5.00,5.00,173.60,2363.30,2335.30,0.00,0.00,5324,30,60,65,60,2026-06-18 22:00
a19,1,20,22,2247.20,2247.20,38.00,5.00,271.40,2580.60,2518.60,0.00,0.00,1008,10,20,65,60,2026-06-18 22:00
a20,1,18,20,2482.00,2482.00,5.00,5.00,279.70,2825.70,2781.70,0.00,0.00,979,10,20,65,60,2026-06-18 22:00
a21,1,22,25,2597.40,2597.40,5.00,30.00,184.20,2848.60,2781.60,0.00,0.00,1057,10,20,65,60,2026-06-18 22:00
a22,1,15,17,2600.40,2600.40,32.00,5.00,331.80,3003.20,2932.20,0.00,0.00,1052,10,20,65,60,2026-06-18 22:00
