f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,3,88.6,178.9,303.5,930,10,20,0
a04,4,198.3,318.7,580.0,4687,30,60,1
a05,1,254.7,240.9,526.6,1037,10,20,0
a06,3,283.8,137.3,461.1,1174,10,20,0
a07,4,426.2,340.9,801.1,4686,30,60,1
a08,6,486.5,385.4,924.9,1155,10,20,0
a09,4,495.3,209.3,761.6,1044,10,20,0
a10,8,618.6,376.5,1040.1,5500,30,60,1
a11,3,650.6,278.3,984.9,1018,10,20,0
a12,4,766.3,178.5,976.8,5252,30,60,1
a13,4,779.2,112.5,941.7,1076,10,20,0
a14,6,1181.7,355.9,1585.6,5353,30,60,1
a15,2,1279.3,220.6,1526.9,809,10,20,0
a16,6,1430.9,203.8,1675.7,5143,30,60,1
a17,2,1471.8,192.1,1687.9,942,10,20,0
a18,5,1472.0,249.7,1783.7,4903,30,60,1
