f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,3,88.6,178.9,303.5,930,10,20,0
a04,4,198.3,318.7,580.0,4687,30,60,1
a05,1,254.7,240.9,526.6,1037,10,20,0
a06,3,283.8,137.3,461.1,1174,10,20,0
a07,4,426.2,340.9,801.1,4686,30,60,1
a08,6,486.5,385.4,924.9,1155,10,20,0
a09,4,495.3,209.3,761.6,1044,10,20,0
a10,8,618.6,376.5,1040.1,5500,30,60,1
a11,3,650.6,278.3,984.9,1018,10,20,0
a12,4,766.3,178.5,976.8,5252,30,60,1
a13,4,779.2,112.5,941.7,1076,10,20,0
a14,6,1181.7,355.9,1585.6,5353,30,60,1
a15,2,1279.3,220.6,1526.9,809,10,20,0
a16,6,1430.9,203.8,1675.7,5143,30,60,1
a17,2,1471.8,192.1,1687.9,942,10,20,0
a18,5,1472.0,249.7,1783.7,4903,30,60,1
a19,5,1506.4,358.4,1888.8,1004,10,20,0
a20,6,1650.9,149.0,1862.9,5240,30,60,1
a21,5,1683.9,102.2,1813.1,5403,30,60,1
a22,3,1725.9,380.8,2132.7,1175,10,20,0
a23,5,1856.7,249.9,2156.6,5302,30,60,1
a24,5,1882.8,282.5,2216.3,1195,10,20,0
a25,6,1886.0,204.5,2137.5,5126,30,60,1
a26,3,2011.9,322.9,2366.8,1036,10,20,0
a27,1,2100.8,245.0,2413.8,984,10,20,0
a28,6,2293.1,301.1,2632.2,5130,30,60,1
a29,8,2345.4,267.5,2643.9,5500,30,60,1
a30,8,2369.4,282.1,2713.5,5500,30,60,1
a31,6,2443.3,299.4,2786.7,5249,30,60,1
a32,5,2492.5,222.8,2770.3,4923,30,60,1
a33,6,2591.4,291.1,2909.5,5382,30,60,1
a34,4,2606.5,382.8,3059.3,1016,10,20,0
a35,3,2759.0,237.6,3025.6,971,10,20,0
a36,2,2849.6,399.2,3318.8,1069,10,20,0
a37,2,2895.6,358.4,3302.0,1061,10,20,0
a38,1,2980.0,131.8,3182.8,764,10,20,0
a39,5,3018.8,264.1,3332.9,5467,30,60,1
a40,6,3049.5,212.3,3285.8,5286,30,60,1
a41,2,3147.9,388.3,3586.2,883,10,20,0
a42,5,3168.2,299.0,3520.2,1155,10,20,0
a43,6,3220.6,359.0,3635.6,5234,30,60,1
a44,4,3375.7,175.5,3599.2,1179,10,20,0
