Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,EP,P_Arr,P_Dep,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5.00,5.00,210.00,200.00,230.00,0.00,30.00,1000.00,0.00,20.00,65,60,2026-07-07 11:59
a02,1,16,18,0.00,0.00,30.00,5.00,160.00,150.00,160.00,0.00,10.00,1000.00,0.00,20.00,65,60,2026-07-07 11:59
a03,1,22,25,39.30,39.30,30.00,28.00,108.10,214.40,147.40,0.00,0.00,1116.00,10.00,20.00,65,60,2026-07-07 11:59
a04,1,18,20,47.30,47.30,5.00,32.00,182.60,254.90,229.90,0.00,0.00,1152.00,10.00,20.00,65,60,2026-07-07 11:59
a05,0,18,20,69.90,0.00,0.00,0.00,231.40,355.30,0.00,0.00,0.00,1060.00,10.00,20.00,65,60,2026-07-07 11:59
a06,0,15,17,193.20,0.00,0.00,0.00,244.30,507.50,0.00,0.00,0.00,828.00,10.00,20.00,65,60,2026-07-07 11:59
a07,1,25,30,282.60,282.60,32.00,5.00,326.50,646.10,609.10,0.00,0.00,5331.00,30.00,60.00,65,60,2026-07-07 11:59
a08,0,25,30,315.60,0.00,0.00,0.00,333.70,715.30,0.00,0.00,0.00,5318.00,30.00,60.00,65,60,2026-07-07 11:59
a09,1,22,25,320.60,320.60,5.00,5.00,340.10,690.70,660.70,0.00,0.00,5305.00,30.00,60.00,65,60,2026-07-07 11:59
a10,0,20,22,527.90,0.00,0.00,0.00,262.60,862.50,0.00,0.00,0.00,978.00,10.00,20.00,65,60,2026-07-07 11:59
a11,0,15,17,627.10,0.00,0.00,0.00,318.80,1007.90,0.00,0.00,0.00,876.00,10.00,20.00,65,60,2026-07-07 11:59
a12,0,48,49,765.00,0.00,0.00,0.00,162.80,991.80,0.00,0.00,0.00,1200.00,10.00,20.00,65,60,2026-07-07 11:59
a13,0,22,25,781.30,0.00,0.00,0.00,141.40,986.70,0.00,0.00,0.00,1079.00,10.00,20.00,65,60,2026-07-07 11:59
a14,0,18,20,834.80,0.00,0.00,0.00,121.90,1007.70,0.00,0.00,0.00,1058.00,10.00,20.00,65,60,2026-07-07 11:59
a15,1,28,28,881.40,881.40,25.00,5.00,259.90,1198.30,1141.30,0.00,0.00,5308.00,30.00,60.00,65,60,2026-07-07 11:59
a16,1,15,17,944.00,944.00,5.00,5.00,285.40,1281.40,1229.40,0.00,0.00,4847.00,30.00,60.00,65,60,2026-07-07 11:59
a17,0,22,25,989.70,0.00,0.00,0.00,271.00,1315.70,0.00,0.00,0.00,4901.00,30.00,60.00,65,60,2026-07-07 11:59
a18,1,18,20,1120.30,1141.50,25.00,28.00,197.10,1346.40,1338.60,21.20,0.00,988.00,10.00,20.00,65,60,2026-07-07 11:59
a19,1,16,18,1120.70,1141.40,25.00,5.00,231.20,1378.90,1372.60,20.70,0.00,1184.00,10.00,20.00,65,60,2026-07-07 11:59
a20,0,15,17,1261.60,0.00,0.00,0.00,258.70,1550.30,0.00,0.00,0.00,891.00,10.00,20.00,65,60,2026-07-07 11:59
a21,1,16,18,1466.20,1466.20,38.00,5.00,269.90,1771.10,1736.10,0.00,0.00,1158.00,10.00,20.00,65,60,2026-07-07 11:59
a22,1,28,28,1479.60,1479.60,5.00,5.00,223.50,1768.10,1703.10,0.00,0.00,5471.00,30.00,60.00,65,60,2026-07-07 11:59
a23,1,15,17,1544.10,1544.10,38.00,28.00,150.00,1746.10,1694.10,0.00,0.00,976.00,10.00,20.00,65,60,2026-07-07 11:59
a24,1,25,30,1728.80,1728.80,5.00,5.00,108.50,1901.30,1837.30,0.00,0.00,5420.00,30.00,60.00,65,60,2026-07-07 11:59
a25,1,18,20,1764.30,1764.30,38.00,5.00,223.60,2024.90,1987.90,0.00,0.00,1134.00,10.00,20.00,65,60,2026-07-07 11:59
a26,1,28,28,1800.70,1837.40,5.00,5.00,103.80,1943.50,1941.20,36.70,0.00,5374.00,30.00,60.00,65,60,2026-07-07 11:59
a27,0,15,17,1890.30,0.00,0.00,0.00,109.90,2062.20,0.00,0.00,0.00,787.00,10.00,20.00,65,60,2026-07-07 11:59
a28,1,18,20,1984.90,2000.30,38.00,5.00,125.10,2149.00,2125.40,15.40,0.00,1006.00,10.00,20.00,65,60,2026-07-07 11:59
a29,1,28,28,2050.90,2050.90,5.00,5.00,252.40,2361.30,2303.30,0.00,0.00,5429.00,30.00,60.00,65,60,2026-07-07 11:59
a30,0,16,18,2283.50,0.00,0.00,0.00,397.60,2746.10,0.00,0.00,0.00,1151.00,10.00,20.00,65,60,2026-07-07 11:59
a31,1,22,25,2353.40,2353.40,35.00,5.00,291.40,2696.80,2644.80,0.00,0.00,5452.00,30.00,60.00,65,60,2026-07-07 11:59
a32,0,25,30,2353.60,0.00,0.00,0.00,128.10,2547.70,0.00,0.00,0.00,1182.00,10.00,20.00,65,60,2026-07-07 11:59
a33,1,25,30,2359.90,2359.90,5.00,5.00,357.40,2787.30,2717.30,0.00,0.00,5455.00,30.00,60.00,65,60,2026-07-07 11:59
a34,0,48,49,2479.30,0.00,0.00,0.00,270.80,2776.10,0.00,0.00,0.00,5500.00,30.00,60.00,65,60,2026-07-07 11:59
