Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,EP,P_Arr,P_Dep,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5.00,5.00,210.00,200.00,210.00,0.00,10.00,1000,0,20,65,60,2026-06-18 22:00
a02,1,16,18,0.00,0.00,30.00,5.00,160.00,150.00,160.00,0.00,10.00,1000,0,20,65,60,2026-06-18 22:00
a03,0,25,30,136.80,0.00,0.00,0.00,107.10,290.90,0.00,0.00,0.00,1125,10,20,65,60,2026-06-18 22:00
a04,1,48,49,217.10,217.10,5.00,5.00,183.20,469.30,400.30,0.00,0.00,5500,30,60,65,60,2026-06-18 22:00
a05,1,25,30,381.70,400.40,26.00,5.00,317.30,771.00,717.70,18.70,0.00,5156,30,60,65,60,2026-06-18 22:00
a06,1,16,18,408.20,408.20,5.00,5.00,309.10,761.30,717.30,0.00,0.00,939,10,20,65,60,2026-06-18 22:00
a07,0,16,18,733.80,0.00,0.00,0.00,253.60,1054.40,0.00,0.00,0.00,812,10,20,65,60,2026-06-18 22:00
a08,1,28,28,781.80,781.80,28.00,5.00,201.60,1045.40,983.40,0.00,0.00,5402,30,60,65,60,2026-06-18 22:00
a09,0,48,49,884.50,0.00,0.00,0.00,110.50,1021.00,0.00,0.00,0.00,5500,30,60,65,60,2026-06-18 22:00
a10,1,18,20,893.70,893.70,5.00,5.00,292.80,1216.50,1186.50,0.00,0.00,1100,10,20,65,60,2026-06-18 22:00
a11,1,15,17,981.60,981.60,5.00,30.00,105.20,1122.80,1086.80,0.00,0.00,1091,10,20,65,60,2026-06-18 22:00
a12,1,28,28,1074.00,1074.00,30.00,5.00,266.70,1399.70,1340.70,0.00,0.00,5303,30,60,65,60,2026-06-18 22:00
a13,1,15,17,1116.60,1116.60,30.00,38.00,208.10,1362.70,1324.70,0.00,0.00,1159,10,20,65,60,2026-06-18 22:00
a14,0,48,49,1269.60,0.00,0.00,0.00,321.90,1650.50,0.00,0.00,0.00,5500,30,60,65,60,2026-06-18 22:00
a15,0,48,49,1295.70,0.00,0.00,0.00,322.50,1660.20,0.00,0.00,0.00,5500,30,60,65,60,2026-06-18 22:00
a16,1,20,22,1318.60,1318.60,5.00,5.00,285.10,1665.70,1603.70,0.00,0.00,5045,30,60,65,60,2026-06-18 22:00
a17,1,18,20,1330.70,1330.70,5.00,32.00,270.10,1636.80,1600.80,0.00,0.00,976,10,20,65,60,2026-06-18 22:00
a18,0,22,25,1360.20,0.00,0.00,0.00,371.30,1799.50,0.00,0.00,0.00,1091,10,20,65,60,2026-06-18 22:00
a19,1,28,28,1550.00,1550.00,30.00,5.00,335.30,1955.30,1885.30,0.00,0.00,5331,30,60,65,60,2026-06-18 22:00
a20,1,15,17,1559.80,1559.80,30.00,38.00,297.70,1883.50,1857.50,0.00,0.00,987,10,20,65,60,2026-06-18 22:00
a21,0,28,28,1594.90,0.00,0.00,0.00,305.60,1970.50,0.00,0.00,0.00,5366,30,60,65,60,2026-06-18 22:00
a22,1,25,30,1816.80,1885.40,5.00,5.00,143.20,2028.00,2028.60,68.60,0.60,5157,30,60,65,60,2026-06-18 22:00
