f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,1.4,118.5,183.9,1147,10,20,0
a04,3,61.5,395.2,501.7,865,10,20,0
a05,2,106.8,184.9,349.7,5261,30,60,1
a06,1,111.0,331.3,481.3,5487,30,60,1
a07,1,173.1,229.9,434.0,951,10,20,0
a08,8,223.0,251.2,538.2,5500,30,60,1
a09,1,225.2,336.7,589.9,1141,10,20,0
a10,2,318.8,128.5,509.3,921,10,20,0
a11,2,323.7,256.9,647.6,1000,10,20,0
a12,7,348.0,306.3,701.3,5488,30,60,1
a13,3,363.2,162.8,555.0,4673,30,60,1
a14,8,414.3,116.1,597.4,5500,30,60,1
a15,1,425.7,247.7,699.4,1042,10,20,0
a16,7,446.8,248.8,759.6,5321,30,60,1
a17,6,468.2,177.2,694.4,5184,30,60,1
a18,8,517.1,355.6,934.7,5500,30,60,1
a19,1,577.8,231.2,857.0,1144,10,20,0
a20,5,713.5,342.6,1101.1,1086,10,20,0
a21,4,717.6,248.6,1017.2,5251,30,60,1
a22,4,721.4,234.8,1014.2,1158,10,20,0
