f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,200.4,161.6,420.0,1198,10,20,0
a04,4,261.4,300.0,610.4,1135,10,20,0
a05,6,408.3,342.9,817.2,5149,30,60,1
a06,7,418.4,262.8,713.2,5362,30,60,1
a07,2,443.8,196.5,690.3,971,10,20,0
a08,2,496.7,309.8,866.5,1070,10,20,0
a09,1,573.4,249.3,855.7,878,10,20,0
a10,6,635.4,275.3,953.7,5330,30,60,1
a11,8,655.0,299.0,1022.0,5500,30,60,1
a12,2,710.3,293.5,1047.8,1022,10,20,0
a13,6,780.9,329.3,1182.2,5434,30,60,1
a14,2,885.1,383.9,1337.0,952,10,20,0
a15,3,886.9,305.7,1251.6,1017,10,20,0
a16,6,888.8,184.9,1133.7,5378,30,60,1
a17,6,1055.0,371.0,1491.0,1143,10,20,0
a18,7,1181.0,173.6,1382.6,5324,30,60,1
a19,4,1223.8,271.4,1557.2,1008,10,20,0
a20,3,1341.2,279.7,1684.9,979,10,20,0
a21,5,1398.9,184.2,1650.1,1057,10,20,0
a22,1,1400.4,331.8,1803.2,1052,10,20,0
