f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,200.4,161.6,420.0,1198,10,20,0
a04,4,249.2,300.0,598.2,1135,10,20,0
a05,6,366.7,342.9,775.6,5149,30,60,1
a06,7,374.8,262.8,669.6,5362,30,60,1
a07,2,395.2,196.5,641.7,971,10,20,0
a08,2,437.5,309.8,807.3,1070,10,20,0
a09,1,498.8,249.3,781.1,878,10,20,0
a10,6,548.4,275.3,866.7,5330,30,60,1
a11,8,564.1,299.0,931.1,5500,30,60,1
a12,2,608.3,293.5,945.8,1022,10,20,0
a13,6,664.8,329.3,1066.1,5434,30,60,1
a14,2,748.2,383.9,1200.1,952,10,20,0
a15,3,749.6,305.7,1114.3,1017,10,20,0
a16,6,751.1,184.9,996.0,5378,30,60,1
a17,6,884.1,371.0,1320.1,1143,10,20,0
a18,7,984.9,173.6,1186.5,5324,30,60,1
a19,4,1019.1,271.4,1352.5,1008,10,20,0
a20,3,1113.0,279.7,1456.7,979,10,20,0
a21,5,1159.2,184.2,1410.4,1057,10,20,0
a22,1,1160.4,331.8,1563.2,1052,10,20,0
