f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,6,136.8,107.1,290.9,1125,10,20,0
a04,8,217.1,183.2,469.3,5500,30,60,1
a05,6,381.7,317.3,771.0,5156,30,60,1
a06,2,408.2,309.1,761.3,939,10,20,0
a07,2,733.8,253.6,1054.4,812,10,20,0
a08,7,781.8,201.6,1045.4,5402,30,60,1
a09,8,884.5,110.5,1021.0,5500,30,60,1
a10,3,893.7,292.8,1216.5,1100,10,20,0
a11,1,981.6,105.2,1122.8,1091,10,20,0
a12,7,1074.0,266.7,1399.7,5303,30,60,1
a13,1,1116.6,208.1,1362.7,1159,10,20,0
a14,8,1269.6,321.9,1650.5,5500,30,60,1
a15,8,1295.7,322.5,1660.2,5500,30,60,1
a16,4,1318.6,285.1,1665.7,5045,30,60,1
a17,3,1330.7,270.1,1636.8,976,10,20,0
a18,5,1360.2,371.3,1799.5,1091,10,20,0
a19,7,1550.0,335.3,1955.3,5331,30,60,1
a20,1,1559.8,297.7,1883.5,987,10,20,0
a21,7,1594.9,305.6,1970.5,5366,30,60,1
a22,6,1816.8,143.2,2028.0,5157,30,60,1
