f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,200.4,161.6,420.0,1198,10,20,0
a04,4,322.3,300.0,671.3,1135,10,20,0
a05,6,616.2,342.9,1025.1,5149,30,60,1
a06,7,636.5,262.8,931.3,5362,30,60,1
a07,2,687.3,196.5,933.8,971,10,20,0
a08,2,793.1,309.8,1162.9,1070,10,20,0
a09,1,946.5,249.3,1228.8,878,10,20,0
a10,6,1070.4,275.3,1388.7,5330,30,60,1
a11,8,1109.7,299.0,1476.7,5500,30,60,1
a12,2,1220.2,293.5,1557.7,1022,10,20,0
a13,6,1361.4,329.3,1762.7,5434,30,60,1
a14,2,1569.9,383.9,2021.8,952,10,20,0
a15,3,1573.5,305.7,1938.2,1017,10,20,0
a16,6,1577.2,184.9,1822.1,5378,30,60,1
a17,6,1909.6,371.0,2345.6,1143,10,20,0
a18,7,2161.7,173.6,2363.3,5324,30,60,1
a19,4,2247.2,271.4,2580.6,1008,10,20,0
a20,3,2482.0,279.7,2825.7,979,10,20,0
a21,5,2597.4,184.2,2848.6,1057,10,20,0
a22,1,2600.4,331.8,3003.2,1052,10,20,0
