f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,6,136.8,107.1,290.9,1125,10,20,0
a04,8,182.7,183.2,434.9,5500,30,60,1
a05,6,276.8,317.3,666.1,5156,30,60,1
a06,2,291.9,309.1,645.0,939,10,20,0
a07,2,477.9,253.6,798.5,812,10,20,0
a08,7,505.3,201.6,768.9,5402,30,60,1
a09,8,564.1,110.5,700.6,5500,30,60,1
a10,3,569.3,292.8,892.1,1100,10,20,0
a11,1,619.6,105.2,760.8,1091,10,20,0
a12,7,672.4,266.7,998.1,5303,30,60,1
a13,1,696.7,208.1,942.8,1159,10,20,0
a14,8,784.1,321.9,1165.0,5500,30,60,1
a15,8,799.0,322.5,1163.5,5500,30,60,1
a16,4,812.1,285.1,1159.2,5045,30,60,1
a17,3,819.0,270.1,1125.1,976,10,20,0
a18,5,835.9,371.3,1275.2,1091,10,20,0
a19,7,944.3,335.3,1349.6,5331,30,60,1
a20,1,949.9,297.7,1273.6,987,10,20,0
a21,7,970.0,305.6,1345.6,5366,30,60,1
a22,6,1096.8,143.2,1308.0,5157,30,60,1
