f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,1.4,118.5,183.9,1147,10,20,0
a04,3,141.6,395.2,581.8,865,10,20,0
a05,2,247.3,184.9,490.2,5261,30,60,1
a06,1,257.2,331.3,627.5,5487,30,60,1
a07,1,402.0,229.9,662.9,951,10,20,0
a08,8,518.5,251.2,833.7,5500,30,60,1
a09,1,523.6,336.7,888.3,1141,10,20,0
a10,2,742.1,128.5,932.6,921,10,20,0
a11,2,753.5,256.9,1077.4,1000,10,20,0
a12,7,810.1,306.3,1163.4,5488,30,60,1
a13,3,845.7,162.8,1037.5,4673,30,60,1
a14,8,964.8,116.1,1147.9,5500,30,60,1
a15,1,991.4,247.7,1265.1,1042,10,20,0
a16,7,1040.6,248.8,1353.4,5321,30,60,1
a17,6,1090.7,177.2,1316.9,5184,30,60,1
a18,8,1204.7,355.6,1622.3,5500,30,60,1
a19,1,1346.3,231.2,1625.5,1144,10,20,0
a20,5,1662.9,342.6,2050.5,1086,10,20,0
a21,4,1672.6,248.6,1972.2,5251,30,60,1
a22,4,1681.4,234.8,1974.2,1158,10,20,0
