f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,1.4,118.5,183.9,1147,10,20,0
a04,3,101.5,395.2,541.7,865,10,20,0
a05,2,177.1,184.9,420.0,5261,30,60,1
a06,1,184.1,331.3,554.4,5487,30,60,1
a07,1,287.5,229.9,548.4,951,10,20,0
a08,8,370.8,251.2,686.0,5500,30,60,1
a09,1,374.4,336.7,739.1,1141,10,20,0
a10,2,530.4,128.5,720.9,921,10,20,0
a11,2,538.6,256.9,862.5,1000,10,20,0
a12,7,579.0,306.3,932.3,5488,30,60,1
a13,3,604.5,162.8,796.3,4673,30,60,1
a14,8,689.5,116.1,872.6,5500,30,60,1
a15,1,708.6,247.7,982.3,1042,10,20,0
a16,7,743.7,248.8,1056.5,5321,30,60,1
a17,6,779.5,177.2,1005.7,5184,30,60,1
a18,8,860.9,355.6,1278.5,5500,30,60,1
a19,1,962.0,231.2,1241.2,1144,10,20,0
a20,5,1188.2,342.6,1575.8,1086,10,20,0
a21,4,1195.1,248.6,1494.7,5251,30,60,1
a22,4,1201.4,234.8,1494.2,1158,10,20,0
