f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,6,136.8,107.1,290.9,1125,10,20,0
a04,8,194.1,183.2,446.3,5500,30,60,1
a05,6,311.7,317.3,701.0,5156,30,60,1
a06,2,330.7,309.1,683.8,939,10,20,0
a07,2,563.2,253.6,883.8,812,10,20,0
a08,7,597.5,201.6,861.1,5402,30,60,1
a09,8,670.9,110.5,807.4,5500,30,60,1
a10,3,677.5,292.8,1000.3,1100,10,20,0
a11,1,740.3,105.2,881.5,1091,10,20,0
a12,7,806.2,266.7,1131.9,5303,30,60,1
a13,1,836.7,208.1,1082.8,1159,10,20,0
a14,8,945.9,321.9,1326.8,5500,30,60,1
a15,8,964.6,322.5,1329.1,5500,30,60,1
a16,4,980.9,285.1,1328.0,5045,30,60,1
a17,3,989.6,270.1,1295.7,976,10,20,0
a18,5,1010.7,371.3,1450.0,1091,10,20,0
a19,7,1146.2,335.3,1551.5,5331,30,60,1
a20,1,1153.2,297.7,1476.9,987,10,20,0
a21,7,1178.3,305.6,1553.9,5366,30,60,1
a22,6,1336.8,143.2,1548.0,5157,30,60,1
