f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,6,136.8,107.1,290.9,1125,10,20,0
a04,8,171.2,183.2,423.4,5500,30,60,1
a05,6,241.8,317.3,631.1,5156,30,60,1
a06,2,253.1,309.1,606.2,939,10,20,0
a07,2,392.7,253.6,713.3,812,10,20,0
a08,7,413.2,201.6,676.8,5402,30,60,1
a09,8,457.3,110.5,593.8,5500,30,60,1
a10,3,461.2,292.8,784.0,1100,10,20,0
a11,1,498.9,105.2,640.1,1091,10,20,0
a12,7,538.5,266.7,864.2,5303,30,60,1
a13,1,556.7,208.1,802.8,1159,10,20,0
a14,8,622.3,321.9,1003.2,5500,30,60,1
a15,8,633.5,322.5,998.0,5500,30,60,1
a16,4,643.3,285.1,990.4,5045,30,60,1
a17,3,648.5,270.1,954.6,976,10,20,0
a18,5,661.1,371.3,1100.4,1091,10,20,0
a19,7,742.4,335.3,1147.7,5331,30,60,1
a20,1,746.6,297.7,1070.3,987,10,20,0
a21,7,761.7,305.6,1137.3,5366,30,60,1
a22,6,856.8,143.2,1068.0,5157,30,60,1
