f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,1.4,118.5,183.9,1147,10,20,0
a04,3,201.7,395.2,641.9,865,10,20,0
a05,2,352.7,184.9,595.6,5261,30,60,1
a06,1,366.8,331.3,737.1,5487,30,60,1
a07,1,573.7,229.9,834.6,951,10,20,0
a08,8,740.2,251.2,1055.4,5500,30,60,1
a09,1,747.4,336.7,1112.1,1141,10,20,0
a10,2,1059.5,128.5,1250.0,921,10,20,0
a11,2,1075.9,256.9,1399.8,1000,10,20,0
a12,7,1156.7,306.3,1510.0,5488,30,60,1
a13,3,1207.6,162.8,1399.4,4673,30,60,1
a14,8,1377.6,116.1,1560.7,5500,30,60,1
a15,1,1415.7,247.7,1689.4,1042,10,20,0
a16,7,1486.0,248.8,1798.8,5321,30,60,1
a17,6,1557.6,177.2,1783.8,5184,30,60,1
a18,8,1720.4,355.6,2138.0,5500,30,60,1
a19,1,1922.7,231.2,2201.9,1144,10,20,0
a20,5,2375.0,342.6,2762.6,1086,10,20,0
a21,4,2388.8,248.6,2688.4,5251,30,60,1
a22,4,2401.4,234.8,2694.2,1158,10,20,0
