f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,200.4,161.6,420.0,1198,10,20,0
a04,4,237.0,300.0,586.0,1135,10,20,0
a05,6,325.1,342.9,734.0,5149,30,60,1
a06,7,331.2,262.8,626.0,5362,30,60,1
a07,2,346.5,196.5,593.0,971,10,20,0
a08,2,378.2,309.8,748.0,1070,10,20,0
a09,1,424.2,249.3,706.5,878,10,20,0
a10,6,461.4,275.3,779.7,5330,30,60,1
a11,8,473.2,299.0,840.2,5500,30,60,1
a12,2,506.4,293.5,843.9,1022,10,20,0
a13,6,548.7,329.3,950.0,5434,30,60,1
a14,2,611.2,383.9,1063.1,952,10,20,0
a15,3,612.3,305.7,977.0,1017,10,20,0
a16,6,613.4,184.9,858.3,5378,30,60,1
a17,6,713.2,371.0,1149.2,1143,10,20,0
a18,7,788.8,173.6,990.4,5324,30,60,1
a19,4,814.4,271.4,1147.8,1008,10,20,0
a20,3,884.9,279.7,1228.6,979,10,20,0
a21,5,919.5,184.2,1170.7,1057,10,20,0
a22,1,920.4,331.8,1323.2,1052,10,20,0
