f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,200.4,161.6,420.0,1198,10,20,0
a04,4,285.8,300.0,634.8,1135,10,20,0
a05,6,491.5,342.9,900.4,5149,30,60,1
a06,7,505.6,262.8,800.4,5362,30,60,1
a07,2,541.2,196.5,787.7,971,10,20,0
a08,2,615.3,309.8,985.1,1070,10,20,0
a09,1,722.7,249.3,1005.0,878,10,20,0
a10,6,809.4,275.3,1127.7,5330,30,60,1
a11,8,836.9,299.0,1203.9,5500,30,60,1
a12,2,914.3,293.5,1251.8,1022,10,20,0
a13,6,1013.1,329.3,1414.4,5434,30,60,1
a14,2,1159.0,383.9,1610.9,952,10,20,0
a15,3,1161.5,305.7,1526.2,1017,10,20,0
a16,6,1164.2,184.9,1409.1,5378,30,60,1
a17,6,1396.8,371.0,1832.8,1143,10,20,0
a18,7,1573.3,173.6,1774.9,5324,30,60,1
a19,4,1633.1,271.4,1966.5,1008,10,20,0
a20,3,1797.5,279.7,2141.2,979,10,20,0
a21,5,1878.3,184.2,2129.5,1057,10,20,0
a22,1,1880.4,331.8,2283.2,1052,10,20,0
