Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,EP,P_Arr,P_Dep,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5.00,5.00,210.00,200.00,210.00,0.00,10.00,1000,0,20,65,60,2026-06-18 22:00
a02,1,16,18,0.00,0.00,30.00,5.00,160.00,150.00,160.00,0.00,10.00,1000,0,20,65,60,2026-06-18 22:00
a03,0,15,17,84.70,0.00,0.00,0.00,259.40,368.10,0.00,0.00,0.00,744,10,20,65,60,2026-06-18 22:00
a04,0,16,18,272.70,0.00,0.00,0.00,261.10,595.80,0.00,0.00,0.00,1187,10,20,65,60,2026-06-18 22:00
a05,0,16,18,285.20,0.00,0.00,0.00,272.90,617.10,0.00,0.00,0.00,1071,10,20,65,60,2026-06-18 22:00
a06,0,16,18,335.40,0.00,0.00,0.00,273.70,652.10,0.00,0.00,0.00,822,10,20,65,60,2026-06-18 22:00
a07,1,16,18,374.20,374.20,5.00,5.00,368.90,777.10,743.10,0.00,0.00,1169,10,20,65,60,2026-06-18 22:00
a08,1,22,25,397.20,397.20,5.00,28.00,331.00,796.20,728.20,0.00,0.00,5003,30,60,65,60,2026-06-18 22:00
a09,1,28,28,404.00,404.00,32.00,5.00,117.90,585.90,521.90,0.00,0.00,5467,30,60,65,60,2026-06-18 22:00
a10,0,25,30,630.90,0.00,0.00,0.00,258.10,914.00,0.00,0.00,0.00,1146,10,20,65,60,2026-06-18 22:00
a11,1,48,49,712.20,743.20,5.00,5.00,242.10,1026.30,985.30,31.00,0.00,5500,30,60,65,60,2026-06-18 22:00
a12,0,28,28,794.10,0.00,0.00,0.00,385.50,1250.60,0.00,0.00,0.00,5387,30,60,65,60,2026-06-18 22:00
a13,0,15,17,835.30,0.00,0.00,0.00,341.10,1218.40,0.00,0.00,0.00,1110,10,20,65,60,2026-06-18 22:00
a14,0,28,28,872.40,0.00,0.00,0.00,185.70,1094.10,0.00,0.00,0.00,1192,10,20,65,60,2026-06-18 22:00
a15,0,48,49,941.50,0.00,0.00,0.00,368.70,1354.20,0.00,0.00,0.00,1200,10,20,65,60,2026-06-18 22:00
