Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,EP,P_Arr,P_Dep,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5.00,5.00,210.00,200.00,210.00,0.00,10.00,1000,0,20,65,60,2026-06-18 22:00
a02,1,16,18,0.00,0.00,30.00,5.00,160.00,150.00,160.00,0.00,10.00,1000,0,20,65,60,2026-06-18 22:00
a03,0,25,30,136.80,0.00,0.00,0.00,107.10,290.90,0.00,0.00,0.00,1125,10,20,65,60,2026-06-18 22:00
a04,1,48,49,203.10,210.10,5.00,5.00,183.20,455.30,393.30,7.00,0.00,5500,30,60,65,60,2026-06-18 22:00
a05,1,25,30,339.10,393.40,26.00,5.00,317.30,728.40,710.70,54.30,0.00,5156,30,60,65,60,2026-06-18 22:00
a06,1,16,18,361.00,393.50,5.00,5.00,309.10,714.10,702.60,32.50,0.00,939,10,20,65,60,2026-06-18 22:00
a07,0,16,18,629.90,0.00,0.00,0.00,253.60,950.50,0.00,0.00,0.00,812,10,20,65,60,2026-06-18 22:00
a08,1,28,28,669.50,710.80,28.00,5.00,201.60,933.10,912.40,41.30,0.00,5402,30,60,65,60,2026-06-18 22:00
a09,0,48,49,754.40,0.00,0.00,0.00,110.50,890.90,0.00,0.00,0.00,5500,30,60,65,60,2026-06-18 22:00
a10,1,18,20,762.00,762.00,5.00,5.00,292.80,1084.80,1054.80,0.00,0.00,1100,10,20,65,60,2026-06-18 22:00
a11,1,15,17,834.60,834.60,5.00,30.00,105.20,975.80,939.80,0.00,0.00,1091,10,20,65,60,2026-06-18 22:00
a12,1,28,28,910.90,912.50,30.00,5.00,266.70,1236.60,1179.20,1.60,0.00,5303,30,60,65,60,2026-06-18 22:00
a13,1,15,17,946.10,946.10,30.00,38.00,208.10,1192.20,1154.20,0.00,0.00,1159,10,20,65,60,2026-06-18 22:00
a14,0,48,49,1072.40,0.00,0.00,0.00,321.90,1453.30,0.00,0.00,0.00,5500,30,60,65,60,2026-06-18 22:00
a15,0,48,49,1094.00,0.00,0.00,0.00,322.50,1458.50,0.00,0.00,0.00,5500,30,60,65,60,2026-06-18 22:00
a16,1,20,22,1112.90,1112.90,5.00,5.00,285.10,1460.00,1398.00,0.00,0.00,5045,30,60,65,60,2026-06-18 22:00
a17,1,18,20,1122.90,1122.90,5.00,32.00,270.10,1429.00,1393.00,0.00,0.00,976,10,20,65,60,2026-06-18 22:00
a18,1,22,25,1147.30,1179.30,35.00,5.00,371.30,1586.60,1609.90,32.00,23.30,1091,10,20,65,60,2026-06-18 22:00
a19,0,28,28,1304.00,0.00,0.00,0.00,335.30,1709.30,0.00,0.00,0.00,5331,30,60,65,60,2026-06-18 22:00
a20,1,15,17,1312.10,1312.10,35.00,35.00,297.70,1635.80,1609.80,0.00,0.00,987,10,20,65,60,2026-06-18 22:00
a21,0,28,28,1341.10,0.00,0.00,0.00,305.60,1716.70,0.00,0.00,0.00,5366,30,60,65,60,2026-06-18 22:00
a22,1,25,30,1524.40,1524.40,5.00,5.00,143.20,1735.60,1667.60,0.00,0.00,5157,30,60,65,60,2026-06-18 22:00
