Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,EP,P_Arr,P_Dep,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5.00,5.00,210.00,200.00,210.00,0.00,10.00,1000.00,0.00,20.00,65,60,2026-07-07 11:57
a02,1,16,18,0.00,0.00,30.00,5.00,160.00,150.00,160.00,0.00,10.00,1000.00,0.00,20.00,65,60,2026-07-07 11:57
a03,0,25,30,136.80,0.00,0.00,0.00,107.10,290.90,0.00,0.00,0.00,1125.00,10.00,20.00,65,60,2026-07-07 11:57
a04,1,48,49,194.10,210.10,5.00,5.00,183.20,446.30,393.30,16.00,0.00,5500.00,30.00,60.00,65,60,2026-07-07 11:57
a05,0,25,30,311.70,0.00,0.00,0.00,317.30,701.00,0.00,0.00,0.00,5156.00,30.00,60.00,65,60,2026-07-07 11:57
a06,0,16,18,330.70,0.00,0.00,0.00,309.10,683.80,0.00,0.00,0.00,939.00,10.00,20.00,65,60,2026-07-07 11:57
a07,0,16,18,563.20,0.00,0.00,0.00,253.60,883.80,0.00,0.00,0.00,812.00,10.00,20.00,65,60,2026-07-07 11:57
a08,1,28,28,597.50,597.50,5.00,5.00,201.60,861.10,799.10,0.00,0.00,5402.00,30.00,60.00,65,60,2026-07-07 11:57
a09,0,48,49,670.90,0.00,0.00,0.00,110.50,807.40,0.00,0.00,0.00,5500.00,30.00,60.00,65,60,2026-07-07 11:57
a10,0,18,20,677.50,0.00,0.00,0.00,292.80,1000.30,0.00,0.00,0.00,1100.00,10.00,20.00,65,60,2026-07-07 11:57
a11,1,15,17,740.30,740.30,38.00,5.00,105.20,881.50,845.50,0.00,0.00,1091.00,10.00,20.00,65,60,2026-07-07 11:57
a12,1,28,28,806.20,845.60,30.00,5.00,266.70,1131.90,1112.30,39.40,0.00,5303.00,30.00,60.00,65,60,2026-07-07 11:57
a13,1,15,17,836.70,845.70,30.00,38.00,208.10,1082.80,1053.80,9.00,0.00,1159.00,10.00,20.00,65,60,2026-07-07 11:57
a14,0,48,49,945.90,0.00,0.00,0.00,321.90,1326.80,0.00,0.00,0.00,5500.00,30.00,60.00,65,60,2026-07-07 11:57
a15,0,48,49,964.60,0.00,0.00,0.00,322.50,1329.10,0.00,0.00,0.00,5500.00,30.00,60.00,65,60,2026-07-07 11:57
a16,1,20,22,980.90,980.90,5.00,5.00,285.10,1328.00,1266.00,0.00,0.00,5045.00,30.00,60.00,65,60,2026-07-07 11:57
a17,1,18,20,989.60,989.60,5.00,32.00,270.10,1295.70,1259.70,0.00,0.00,976.00,10.00,20.00,65,60,2026-07-07 11:57
a18,0,22,25,1010.70,0.00,0.00,0.00,371.30,1450.00,0.00,0.00,0.00,1091.00,10.00,20.00,65,60,2026-07-07 11:57
a19,0,28,28,1146.20,0.00,0.00,0.00,335.30,1551.50,0.00,0.00,0.00,5331.00,30.00,60.00,65,60,2026-07-07 11:57
a20,0,15,17,1153.20,0.00,0.00,0.00,297.70,1476.90,0.00,0.00,0.00,987.00,10.00,20.00,65,60,2026-07-07 11:57
a21,1,28,28,1178.30,1178.30,30.00,5.00,305.60,1553.90,1483.90,0.00,0.00,5366.00,30.00,60.00,65,60,2026-07-07 11:57
a22,0,25,30,1336.80,0.00,0.00,0.00,143.20,1548.00,0.00,0.00,0.00,5157.00,30.00,60.00,65,60,2026-07-07 11:57
