f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,8,61.3,275.1,375.4,1200,10,20,0
a04,5,72.0,363.9,479.9,5293,30,60,1
a05,3,200.1,170.2,414.3,1122,10,20,0
a06,3,248.0,247.7,547.7,4506,30,60,1
a07,5,322.6,393.2,785.8,1053,10,20,0
a08,1,615.8,195.6,873.4,1060,10,20,0
a09,8,629.4,249.7,928.1,5500,30,60,1
a10,5,729.7,318.9,1081.6,994,10,20,0
a11,6,811.0,151.6,998.6,5278,30,60,1
a12,3,925.6,159.3,1154.9,1174,10,20,0
a13,8,943.5,256.9,1256.4,5500,30,60,1
a14,1,1017.3,137.9,1212.2,1109,10,20,0
a15,2,1263.4,126.9,1460.3,4879,30,60,1
a16,6,1349.4,215.9,1630.3,5288,30,60,1
a17,2,1357.8,259.4,1669.2,788,10,20,0
a18,3,1435.9,134.6,1629.5,1196,10,20,0
a19,3,1482.0,349.9,1861.9,1058,10,20,0
a20,4,1528.9,169.9,1750.8,4739,30,60,1
a21,5,1649.9,142.1,1836.0,5155,30,60,1
a22,8,1808.0,363.0,2211.0,5500,30,60,1
a23,8,1848.2,327.5,2240.7,5500,30,60,1
a24,3,1896.5,357.0,2315.5,1156,10,20,0
a25,6,2063.2,112.9,2235.1,5486,30,60,1
a26,7,2165.0,131.5,2345.5,5309,30,60,1
a27,3,2169.8,396.7,2638.5,854,10,20,0
a28,6,2170.5,139.2,2335.7,1096,10,20,0
a29,1,2198.2,396.6,2652.8,1116,10,20,0
a30,5,2246.2,272.0,2579.2,5050,30,60,1
a31,1,2363.7,105.8,2526.5,878,10,20,0
a32,2,2376.9,195.6,2616.5,1160,10,20,0
