f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,4,40.5,124.9,201.4,978,10,20,0
a04,2,79.0,149.6,269.6,777,10,20,0
a05,3,372.3,212.3,643.6,5036,30,60,1
a06,1,409.9,288.8,742.7,960,10,20,0
a07,2,420.7,379.4,847.1,892,10,20,0
a08,8,431.4,357.6,844.0,5500,30,60,1
a09,6,548.9,300.5,909.4,1099,10,20,0
a10,5,587.3,267.6,893.9,1109,10,20,0
a11,4,613.0,358.8,1003.8,1198,10,20,0
a12,2,660.2,353.1,1064.3,5360,30,60,1
a13,5,713.2,349.2,1117.4,1152,10,20,0
a14,5,828.3,245.7,1098.0,5134,30,60,1
a15,3,902.9,375.8,1350.7,5094,30,60,1
a16,4,963.7,338.1,1339.8,1181,10,20,0
a17,5,1064.0,135.8,1244.8,5057,30,60,1
a18,5,1130.3,327.8,1483.1,1071,10,20,0
a19,7,1172.9,318.9,1516.8,5458,30,60,1
a20,3,1220.1,127.4,1414.5,1021,10,20,0
a21,8,1229.2,117.0,1389.2,5500,30,60,1
a22,4,1246.6,259.5,1564.1,1040,10,20,0
a23,3,1387.3,230.3,1642.6,1146,10,20,0
a24,8,1637.6,183.0,1860.6,5500,30,60,1
a25,4,1653.2,268.3,1967.5,1038,10,20,0
a26,8,1820.5,301.7,2175.2,1200,10,20,0
a27,5,1858.6,114.2,1997.8,5348,30,60,1
