f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,15.1,109.5,158.6,1155,10,20,0
a04,7,134.8,110.5,299.3,5408,30,60,1
a05,6,181.5,386.6,606.1,5268,30,60,1
a06,5,272.1,300.5,621.6,5183,30,60,1
a07,1,326.7,309.8,693.5,812,10,20,0
a08,6,366.6,193.0,618.6,5093,30,60,1
a09,3,369.0,223.8,636.8,4591,30,60,1
a10,5,519.7,267.2,813.9,1101,10,20,0
a11,5,524.1,212.4,798.5,5150,30,60,1
a12,1,659.0,197.8,892.8,5353,30,60,1
a13,8,884.6,387.1,1337.7,5500,30,60,1
a14,2,1031.7,389.8,1472.5,997,10,20,0
a15,8,1041.3,321.5,1424.8,1200,10,20,0
a16,5,1076.1,383.6,1506.7,4967,30,60,1
a17,4,1168.3,180.1,1413.4,1121,10,20,0
a18,7,1300.4,202.8,1558.2,5304,30,60,1
a19,5,1358.8,199.1,1593.9,1022,10,20,0
a20,6,1384.5,395.8,1806.3,5157,30,60,1
a21,3,1495.7,219.8,1750.5,983,10,20,0
a22,3,1501.2,167.4,1712.6,877,10,20,0
a23,7,1532.1,284.4,1863.5,5372,30,60,1
a24,8,1587.2,372.4,1995.6,5500,30,60,1
a25,8,1678.4,243.8,1956.2,5500,30,60,1
a26,6,1679.7,108.4,1856.1,1166,10,20,0
a27,5,1733.0,145.7,1917.7,1070,10,20,0
a28,7,1789.9,331.9,2159.8,1185,10,20,0
a29,6,1867.4,216.9,2146.3,5291,30,60,1
a30,1,1873.0,298.3,2227.3,4546,30,60,1
a31,2,2156.3,252.4,2457.7,813,10,20,0
a32,1,2297.9,304.6,2661.5,817,10,20,0
a33,7,2473.7,221.0,2762.7,5361,30,60,1
a34,1,2663.5,232.7,2964.2,726,10,20,0
a35,6,2685.9,263.3,2974.2,5089,30,60,1
a36,4,2691.6,273.4,2990.0,1187,10,20,0
a37,4,2692.6,363.4,3091.0,1138,10,20,0
