f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,5,39.3,108.1,214.4,1116,10,20,0
a04,3,47.3,182.6,254.9,1152,10,20,0
a05,3,69.9,231.4,355.3,1060,10,20,0
a06,1,193.2,244.3,507.5,828,10,20,0
a07,6,282.6,326.5,646.1,5331,30,60,1
a08,6,315.6,333.7,715.3,5318,30,60,1
a09,5,320.6,340.1,690.7,5305,30,60,1
a10,4,527.9,262.6,862.5,978,10,20,0
a11,1,627.1,318.8,1007.9,876,10,20,0
a12,8,765.0,162.8,991.8,1200,10,20,0
a13,5,781.3,141.4,986.7,1079,10,20,0
a14,3,834.8,121.9,1007.7,1058,10,20,0
a15,7,881.4,259.9,1198.3,5308,30,60,1
a16,1,944.0,285.4,1281.4,4847,30,60,1
a17,5,989.7,271.0,1315.7,4901,30,60,1
a18,3,1120.3,197.1,1346.4,988,10,20,0
a19,2,1120.7,231.2,1378.9,1184,10,20,0
a20,1,1261.6,258.7,1550.3,891,10,20,0
a21,2,1466.2,269.9,1771.1,1158,10,20,0
a22,7,1479.6,223.5,1768.1,5471,30,60,1
a23,1,1544.1,150.0,1746.1,976,10,20,0
a24,6,1728.8,108.5,1901.3,5420,30,60,1
a25,3,1764.3,223.6,2024.9,1134,10,20,0
a26,7,1800.7,103.8,1943.5,5374,30,60,1
a27,1,1890.3,109.9,2062.2,787,10,20,0
a28,3,1984.9,125.1,2149.0,1006,10,20,0
a29,7,2050.9,252.4,2361.3,5429,30,60,1
a30,2,2283.5,397.6,2746.1,1151,10,20,0
a31,5,2353.4,291.4,2696.8,5452,30,60,1
a32,6,2353.6,128.1,2547.7,1182,10,20,0
a33,6,2359.9,357.4,2787.3,5455,30,60,1
a34,8,2479.3,270.8,2776.1,5500,30,60,1
a35,3,2634.1,246.6,2904.7,1124,10,20,0
a36,4,2684.3,377.5,3090.8,5389,30,60,1
a37,3,2689.6,367.8,3104.4,5136,30,60,1
a38,3,2701.5,315.3,3066.8,950,10,20,0
a39,6,2746.4,216.1,3018.5,1197,10,20,0
a40,5,2769.3,353.1,3163.4,5177,30,60,1
a41,5,2775.2,128.7,2946.9,5451,30,60,1
a42,5,2897.5,153.7,3108.2,1041,10,20,0
a43,1,2929.2,242.1,3238.3,846,10,20,0
a44,7,3011.1,138.0,3214.1,5329,30,60,1
a45,1,3129.1,363.6,3522.7,1151,10,20,0
a46,1,3137.9,253.4,3444.3,971,10,20,0
a47,4,3288.2,386.8,3719.0,978,10,20,0
a48,1,3332.7,140.8,3541.5,827,10,20,0
a49,5,3401.5,235.0,3703.5,5157,30,60,1
a50,1,3420.7,120.1,3565.8,1152,10,20,0
a51,7,3527.4,123.9,3708.3,5493,30,60,1
a52,5,3566.9,113.5,3729.4,1111,10,20,0
a53,4,3604.3,285.0,3938.3,4999,30,60,1
a54,3,3611.5,379.0,4033.5,4797,30,60,1
