f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,1,84.7,259.4,368.1,744,10,20,0
a04,2,272.7,261.1,595.8,1187,10,20,0
a05,2,285.2,272.9,617.1,1071,10,20,0
a06,2,335.4,273.7,652.1,822,10,20,0
a07,2,374.2,368.9,777.1,1169,10,20,0
a08,5,397.2,331.0,796.2,5003,30,60,1
a09,7,404.0,117.9,585.9,5467,30,60,1
a10,6,630.9,258.1,914.0,1146,10,20,0
a11,8,712.2,242.1,1026.3,5500,30,60,1
a12,7,794.1,385.5,1250.6,5387,30,60,1
a13,1,835.3,341.1,1218.4,1110,10,20,0
a14,7,872.4,185.7,1094.1,1192,10,20,0
a15,8,941.5,368.7,1354.2,1200,10,20,0
a16,7,987.6,348.1,1387.7,5311,30,60,1
a17,4,1023.7,207.5,1272.2,1130,10,20,0
a18,8,1113.0,285.7,1452.7,5500,30,60,1
a19,6,1114.1,151.8,1328.9,5406,30,60,1
a20,7,1437.1,327.2,1793.3,5369,30,60,1
a21,6,1482.8,203.8,1753.6,5126,30,60,1
a22,6,1562.5,104.6,1708.1,5444,30,60,1
a23,8,1564.4,141.6,1732.0,5500,30,60,1
a24,5,1568.4,193.3,1833.7,1067,10,20,0
a25,1,1670.8,130.5,1835.3,4583,30,60,1
a26,1,1764.6,362.8,2164.4,1158,10,20,0
a27,4,1850.1,154.5,2069.6,986,10,20,0
a28,5,2004.3,238.5,2313.8,1173,10,20,0
a29,6,2012.9,263.7,2330.6,1067,10,20,0
a30,8,2128.0,245.0,2420.0,5500,30,60,1
a31,8,2312.2,385.5,2731.7,5500,30,60,1
a32,1,2314.5,220.6,2575.1,1070,10,20,0
a33,1,2466.7,114.7,2613.4,827,10,20,0
a34,6,2613.0,359.0,3038.0,5211,30,60,1
a35,3,2915.7,105.2,3089.9,1096,10,20,0
a36,5,2922.0,136.2,3109.2,1147,10,20,0
a37,3,2927.0,142.0,3129.0,4448,30,60,1
a38,8,2936.0,333.6,3336.6,5500,30,60,1
a39,3,2992.0,363.3,3408.3,859,10,20,0
a40,6,3041.9,305.6,3416.5,5200,30,60,1
a41,8,3047.7,337.1,3446.8,5500,30,60,1
a42,7,3120.7,184.4,3369.1,5460,30,60,1
