f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,6,36.2,398.9,465.1,5347,30,60,1
a04,4,217.3,337.8,585.1,1070,10,20,0
a05,8,437.2,326.5,794.7,1200,10,20,0
a06,2,557.2,386.7,1013.9,1066,10,20,0
a07,3,606.2,177.9,854.1,946,10,20,0
a08,1,632.6,357.2,1031.8,702,10,20,0
a09,1,694.0,270.8,1009.8,876,10,20,0
a10,1,829.3,253.1,1148.4,846,10,20,0
a11,6,908.2,319.4,1288.6,5259,30,60,1
a12,7,1072.6,315.7,1455.3,5412,30,60,1
a13,8,1194.8,340.2,1569.0,5500,30,60,1
a14,8,1299.2,147.3,1481.5,5500,30,60,1
a15,8,1465.2,354.2,1863.4,5500,30,60,1
a16,6,1522.9,207.7,1800.6,1089,10,20,0
a17,7,1660.6,110.7,1815.3,5301,30,60,1
a18,4,1749.2,145.4,1943.6,4818,30,60,1
a19,5,1757.2,162.5,1949.7,5160,30,60,1
a20,7,1792.1,136.3,2000.4,5474,30,60,1
a21,1,1856.1,380.8,2305.9,5149,30,60,1
a22,8,1942.1,347.0,2345.1,5500,30,60,1
a23,4,2023.1,327.2,2389.3,4829,30,60,1
a24,7,2067.8,168.5,2303.3,5406,30,60,1
a25,6,2071.4,253.6,2370.0,5190,30,60,1
a26,8,2085.5,116.7,2235.2,5500,30,60,1
a27,8,2095.4,302.2,2454.6,5500,30,60,1
a28,8,2148.4,158.0,2334.4,5500,30,60,1
a29,2,2165.6,287.1,2478.7,926,10,20,0
a30,8,2217.1,359.9,2644.0,5500,30,60,1
a31,3,2251.9,330.6,2630.5,866,10,20,0
a32,5,2407.1,104.6,2561.7,1021,10,20,0
a33,2,2552.5,192.9,2814.4,4251,30,60,1
a34,4,2566.8,167.5,2775.3,5334,30,60,1
a35,1,2577.2,154.0,2793.2,1062,10,20,0
a36,2,2649.9,192.0,2881.9,977,10,20,0
a37,7,2687.9,194.5,2923.4,1176,10,20,0
a38,8,2753.5,394.6,3219.1,5500,30,60,1
a39,1,2772.4,191.8,3013.2,910,10,20,0
a40,2,2833.4,349.2,3239.6,4685,30,60,1
a41,7,3031.2,366.5,3432.7,5290,30,60,1
a42,2,3143.1,159.4,3349.5,822,10,20,0
