f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,275.0,273.4,602.4,5436,30,60,1
a04,4,412.3,312.3,781.6,5071,30,60,1
a05,1,501.3,280.4,818.7,1046,10,20,0
a06,1,546.7,174.1,777.8,808,10,20,0
a07,4,610.4,224.1,901.5,1131,10,20,0
a08,5,832.8,358.8,1241.6,1146,10,20,0
a09,3,897.5,387.1,1322.6,4741,30,60,1
a10,2,1051.1,374.1,1473.2,4892,30,60,1
a11,8,1103.7,337.0,1491.7,5500,30,60,1
a12,5,1162.7,230.5,1422.2,5243,30,60,1
a13,3,1228.6,137.5,1431.1,1172,10,20,0
a14,7,1238.6,360.2,1659.8,5351,30,60,1
a15,1,1254.3,225.7,1550.0,853,10,20,0
a16,3,1298.1,285.5,1620.6,4903,30,60,1
a17,6,1318.7,110.2,1459.9,1128,10,20,0
a18,3,1364.8,144.2,1570.0,4638,30,60,1
a19,5,1378.1,174.6,1590.7,4942,30,60,1
a20,7,1595.7,332.2,1972.9,5491,30,60,1
a21,3,1659.9,328.2,2020.1,5149,30,60,1
a22,8,1807.5,284.2,2146.7,5500,30,60,1
a23,4,1848.7,268.7,2159.4,5274,30,60,1
a24,5,1865.2,222.3,2143.5,1048,10,20,0
a25,7,1911.5,328.0,2297.5,5299,30,60,1
a26,3,1943.0,244.6,2259.6,904,10,20,0
a27,6,2016.4,245.6,2313.0,5355,30,60,1
a28,4,2111.5,216.8,2371.3,1138,10,20,0
a29,4,2291.8,235.2,2556.0,1193,10,20,0
a30,4,2355.2,305.2,2724.4,1007,10,20,0
a31,6,2457.7,305.0,2831.7,5237,30,60,1
a32,3,2487.3,158.6,2669.9,904,10,20,0
a33,5,2605.3,186.2,2846.5,1171,10,20,0
a34,7,2613.3,201.5,2866.8,5475,30,60,1
a35,1,2664.2,183.0,2915.2,899,10,20,0
a36,3,2782.3,149.4,2999.7,5237,30,60,1
a37,5,2847.3,167.6,3064.9,5483,30,60,1
a38,1,2897.0,311.6,3270.6,913,10,20,0
a39,6,2908.0,278.2,3244.2,1130,10,20,0
a40,8,2944.4,199.6,3188.0,1200,10,20,0
a41,7,2978.3,320.7,3354.0,5289,30,60,1
a42,6,2987.2,207.3,3236.5,1064,10,20,0
a43,6,3176.5,117.0,3328.5,1107,10,20,0
a44,5,3183.0,216.1,3463.1,5076,30,60,1
a45,7,3288.0,285.1,3642.1,5463,30,60,1
a46,3,3349.6,363.0,3751.6,1005,10,20,0
a47,6,3460.4,344.6,3844.0,5230,30,60,1
a48,4,3506.3,377.1,3936.4,1191,10,20,0
a49,6,3594.3,277.7,3921.0,1191,10,20,0
a50,7,3629.7,347.8,4048.5,1186,10,20,0
a51,1,3671.8,187.5,3928.3,4577,30,60,1
a52,8,3778.1,192.1,3994.2,5500,30,60,1
a53,8,3823.0,302.4,4164.4,5500,30,60,1
a54,4,4102.4,256.7,4383.1,5148,30,60,1
a55,4,4199.8,217.4,4448.2,5409,30,60,1
a56,1,4384.1,290.6,4729.7,1146,10,20,0
a57,1,4419.2,143.3,4606.5,952,10,20,0
a58,7,4426.0,136.5,4596.5,5469,30,60,1
a59,5,4453.1,264.2,4788.3,1112,10,20,0
a60,2,4469.2,393.2,4886.4,990,10,20,0
a61,3,4636.5,356.0,5027.5,1160,10,20,0
a62,4,4832.1,203.9,5096.0,1072,10,20,0
a63,1,4862.7,300.4,5189.1,1008,10,20,0
a64,6,4942.5,373.5,5363.0,5403,30,60,1
a65,4,4955.0,150.2,5149.2,1037,10,20,0
a66,2,4990.5,370.6,5413.1,979,10,20,0
a67,1,5004.9,373.9,5419.8,808,10,20,0
a68,3,5024.8,356.4,5434.2,1176,10,20,0
a69,1,5046.0,185.9,5289.9,5041,30,60,1
a70,4,5082.2,146.7,5253.9,4763,30,60,1
a71,4,5150.9,337.6,5555.5,1002,10,20,0
a72,7,5297.7,247.3,5613.0,5370,30,60,1
a73,7,5465.1,369.6,5903.7,5341,30,60,1
a74,4,5471.9,180.3,5696.2,1094,10,20,0
a75,2,5496.3,273.3,5807.6,907,10,20,0
a76,4,5506.5,107.8,5677.3,1038,10,20,0
a77,5,5575.6,123.3,5738.9,5241,30,60,1
a78,6,5607.0,327.1,5982.1,5109,30,60,1
a79,8,5612.0,164.8,5802.8,5500,30,60,1
a80,3,5632.2,237.1,5912.3,5094,30,60,1
a81,1,5653.2,377.3,6058.5,917,10,20,0
a82,7,5743.2,245.6,6050.8,5449,30,60,1
a83,5,5952.6,226.4,6228.0,1154,10,20,0
a84,7,5996.0,225.3,6266.3,1160,10,20,0
a85,5,6156.1,170.6,6388.7,1164,10,20,0
a86,4,6253.1,255.3,6546.4,5171,30,60,1
a87,1,6272.0,326.0,6641.0,1152,10,20,0
a88,2,6309.9,343.6,6683.5,4321,30,60,1
a89,7,6470.2,324.5,6857.7,5287,30,60,1
a90,1,6620.0,197.9,6888.9,1191,10,20,0
a91,6,6631.5,243.1,6937.6,5244,30,60,1
a92,5,6649.4,132.3,6844.7,1132,10,20,0
a93,7,6695.4,362.6,7095.0,5333,30,60,1
a94,3,6715.4,252.3,7024.7,850,10,20,0
a95,3,6749.2,168.1,6945.3,5197,30,60,1
a96,6,6831.7,357.8,7243.5,1178,10,20,0
a97,7,6948.8,390.1,7407.9,5374,30,60,1
a98,5,7002.1,332.5,7385.6,1003,10,20,0
a99,5,7011.4,146.7,7198.1,4941,30,60,1
a100,4,7071.3,265.7,7367.0,1180,10,20,0
a101,2,7087.7,309.7,7432.4,1006,10,20,0
a102,7,7095.4,261.0,7381.4,5435,30,60,1
a103,3,7158.0,100.2,7295.2,1135,10,20,0
a104,2,7222.8,260.4,7511.2,905,10,20,0
a105,6,7389.6,348.7,7805.3,5286,30,60,1
a106,6,7485.9,219.7,7741.6,5458,30,60,1
a107,5,7517.0,360.3,7948.3,1045,10,20,0
a108,7,7532.7,360.7,7934.4,5418,30,60,1
a109,2,7545.1,303.2,7876.3,1046,10,20,0
a110,7,7680.4,182.6,7917.0,1130,10,20,0
a111,2,7700.8,238.7,7966.5,853,10,20,0
a112,2,7801.4,207.8,8060.2,815,10,20,0
a113,1,7816.0,244.8,8096.8,719,10,20,0
a114,5,7831.7,339.5,8202.2,4878,30,60,1
a115,7,7927.0,237.4,8222.4,5292,30,60,1
a116,6,8224.5,336.9,8603.4,5396,30,60,1
a117,1,8315.2,120.4,8484.6,1018,10,20,0
a118,4,8403.5,194.0,8629.5,4661,30,60,1
a119,6,8409.6,268.3,8717.9,5288,30,60,1
a120,1,8410.4,269.8,8733.2,704,10,20,0
a121,3,8726.3,219.2,8984.5,1162,10,20,0
a122,2,8743.7,339.4,9119.1,838,10,20,0
a123,5,9059.1,376.8,9472.9,5003,30,60,1
a124,2,9089.3,348.6,9471.9,1114,10,20,0
a125,5,9094.3,388.1,9543.4,1005,10,20,0
a126,5,9260.6,303.9,9635.5,1058,10,20,0
a127,5,9360.8,379.5,9777.3,5425,30,60,1
a128,7,9403.3,237.1,9702.4,5346,30,60,1
a129,4,9437.4,214.0,9699.4,1095,10,20,0
a130,2,9468.5,234.9,9747.4,5421,30,60,1
a131,2,9525.5,266.5,9854.0,1196,10,20,0
a132,1,9535.9,349.4,9931.3,916,10,20,0
a133,1,9590.6,233.0,9870.6,947,10,20,0
