f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,18.9,201.8,256.7,5371,30,60,1
a04,3,57.7,151.5,244.2,1027,10,20,0
a05,4,188.2,309.5,525.7,4861,30,60,1
a06,2,197.1,326.3,588.4,5028,30,60,1
a07,1,374.7,161.8,595.5,1145,10,20,0
a08,5,578.1,271.6,895.7,5144,30,60,1
a09,7,580.7,209.1,820.8,5478,30,60,1
a10,1,678.2,360.7,1105.9,4932,30,60,1
a11,7,713.3,259.2,1033.5,1187,10,20,0
a12,7,722.0,143.7,914.7,5292,30,60,1
a13,5,819.9,325.6,1209.5,5106,30,60,1
a14,8,944.9,363.5,1366.4,5500,30,60,1
a15,7,1014.0,267.4,1347.4,5288,30,60,1
a16,4,1203.0,256.9,1513.9,1027,10,20,0
a17,7,1212.9,159.7,1407.6,5471,30,60,1
a18,2,1360.0,163.3,1559.3,1096,10,20,0
a19,5,1370.4,312.0,1743.4,1014,10,20,0
a20,7,1446.3,133.5,1617.8,1187,10,20,0
a21,2,1471.2,395.0,1920.2,1030,10,20,0
a22,3,1617.9,111.1,1773.0,1007,10,20,0
a23,7,1688.3,179.3,1932.6,5289,30,60,1
a24,8,1711.6,237.8,2004.4,5500,30,60,1
a25,8,1729.8,272.8,2055.6,5500,30,60,1
a26,6,1897.7,246.4,2176.1,5170,30,60,1
a27,4,1900.4,373.4,2325.8,4972,30,60,1
a28,5,1904.9,313.1,2269.0,1051,10,20,0
a29,2,2035.7,176.6,2241.3,867,10,20,0
a30,5,2091.0,170.2,2296.2,5119,30,60,1
a31,3,2253.7,213.1,2523.8,854,10,20,0
a32,6,2301.7,360.6,2697.3,5207,30,60,1
a33,6,2372.1,195.7,2623.8,5321,30,60,1
a34,5,2481.6,217.9,2766.5,1172,10,20,0
a35,1,2520.1,262.7,2821.8,1031,10,20,0
a36,3,2545.8,372.2,2950.0,4698,30,60,1
a37,7,2713.0,241.3,2979.3,5402,30,60,1
a38,4,2780.5,355.4,3194.9,1179,10,20,0
a39,7,2803.9,312.2,3174.1,5298,30,60,1
a40,2,2902.0,242.2,3208.2,878,10,20,0
a41,6,3014.7,287.4,3369.1,5215,30,60,1
a42,7,3058.8,228.2,3336.0,5350,30,60,1
a43,8,3073.2,368.1,3502.3,1200,10,20,0
a44,1,3099.3,381.2,3527.5,1036,10,20,0
a45,4,3106.4,326.9,3498.3,5033,30,60,1
a46,3,3193.8,349.4,3581.2,4866,30,60,1
a47,4,3293.3,365.6,3718.9,4889,30,60,1
a48,5,3374.9,301.3,3738.2,1062,10,20,0
a49,4,3402.9,297.2,3743.1,1169,10,20,0
a50,1,3446.3,213.6,3710.9,1102,10,20,0
