f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,6,23.4,242.0,322.4,1122,10,20,0
a04,3,48.5,324.9,399.4,983,10,20,0
a05,4,52.3,354.1,472.4,987,10,20,0
a06,8,215.0,116.0,358.0,5500,30,60,1
a07,5,221.8,313.5,574.3,5053,30,60,1
a08,4,253.7,354.5,636.2,1085,10,20,0
a09,3,478.7,369.1,912.8,1014,10,20,0
a10,7,530.0,254.5,841.5,5409,30,60,1
a11,3,550.5,308.7,888.2,868,10,20,0
a12,8,586.1,355.2,1007.3,5500,30,60,1
a13,8,593.3,363.8,1012.1,5500,30,60,1
a14,6,797.8,272.5,1104.3,5452,30,60,1
a15,5,1023.6,354.0,1413.6,1002,10,20,0
a16,8,1113.4,143.0,1309.4,5500,30,60,1
a17,7,1153.5,370.4,1556.9,5461,30,60,1
