f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,6,136.8,107.1,290.9,1125,10,20,0
a04,8,203.1,183.2,455.3,5500,30,60,1
a05,6,339.1,317.3,728.4,5156,30,60,1
a06,2,361.0,309.1,714.1,939,10,20,0
a07,2,629.9,253.6,950.5,812,10,20,0
a08,7,669.5,201.6,933.1,5402,30,60,1
a09,8,754.4,110.5,890.9,5500,30,60,1
a10,3,762.0,292.8,1084.8,1100,10,20,0
a11,1,834.6,105.2,975.8,1091,10,20,0
a12,7,910.9,266.7,1236.6,5303,30,60,1
a13,1,946.1,208.1,1192.2,1159,10,20,0
a14,8,1072.4,321.9,1453.3,5500,30,60,1
a15,8,1094.0,322.5,1458.5,5500,30,60,1
a16,4,1112.9,285.1,1460.0,5045,30,60,1
a17,3,1122.9,270.1,1429.0,976,10,20,0
a18,5,1147.3,371.3,1586.6,1091,10,20,0
a19,7,1304.0,335.3,1709.3,5331,30,60,1
a20,1,1312.1,297.7,1635.8,987,10,20,0
a21,7,1341.1,305.6,1716.7,5366,30,60,1
a22,6,1524.4,143.2,1735.6,5157,30,60,1
