f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,1,2.8,368.7,406.5,1191,10,20,0
a04,3,59.5,205.0,289.5,4745,30,60,1
a05,6,99.7,363.9,530.6,1091,10,20,0
a06,3,117.8,326.5,511.3,5481,30,60,1
a07,8,233.1,282.1,552.2,5500,30,60,1
a08,2,392.3,153.5,580.8,1138,10,20,0
a09,4,496.6,179.7,734.3,937,10,20,0
a10,1,496.9,156.7,707.6,1085,10,20,0
a11,3,542.1,132.2,728.3,1198,10,20,0
a12,5,554.4,329.7,923.1,986,10,20,0
a13,5,563.7,121.4,730.1,5433,30,60,1
a14,5,716.0,239.2,997.2,5146,30,60,1
a15,4,765.3,159.1,974.4,4840,30,60,1
a16,4,786.3,358.1,1184.4,1023,10,20,0
a17,7,860.7,221.5,1136.2,1136,10,20,0
a18,1,876.2,158.8,1084.0,721,10,20,0
a19,1,1053.2,154.5,1252.7,1137,10,20,0
a20,6,1068.2,259.6,1377.8,1179,10,20,0
a21,4,1246.5,119.2,1389.7,5423,30,60,1
a22,1,1344.5,127.4,1536.9,808,10,20,0
a23,2,1344.7,235.0,1620.7,928,10,20,0
a24,3,1461.4,126.0,1630.4,985,10,20,0
a25,3,1497.2,121.4,1647.6,1033,10,20,0
a26,6,1513.7,195.2,1752.9,1095,10,20,0
a27,6,1528.9,106.6,1706.5,5094,30,60,1
a28,1,1532.8,126.0,1701.8,903,10,20,0
a29,5,1603.6,308.5,1974.1,1007,10,20,0
a30,3,1622.8,373.5,2045.3,1002,10,20,0
a31,7,1670.4,290.0,2019.4,5383,30,60,1
a32,3,1680.5,242.4,1980.9,977,10,20,0
a33,1,1685.2,354.8,2080.0,921,10,20,0
a34,4,1794.2,160.6,2010.8,1096,10,20,0
a35,4,1853.5,355.7,2244.2,4743,30,60,1
a36,5,1968.0,105.9,2137.9,5450,30,60,1
a37,3,2023.6,161.3,2210.9,4906,30,60,1
a38,8,2081.2,328.0,2440.2,5500,30,60,1
a39,4,2136.9,107.4,2277.3,1168,10,20,0
a40,7,2215.2,368.5,2635.7,5461,30,60,1
a41,2,2235.8,262.1,2527.9,957,10,20,0
a42,6,2259.2,361.5,2686.7,1063,10,20,0
