f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,5,21.4,305.4,370.8,1184,10,20,0
a04,4,69.4,300.7,436.1,1098,10,20,0
a05,5,71.8,242.6,385.4,1017,10,20,0
a06,8,97.6,293.9,436.5,5500,30,60,1
a07,5,109.6,299.1,456.7,5460,30,60,1
a08,2,281.6,157.6,486.2,1107,10,20,0
a09,3,336.7,375.3,744.0,5134,30,60,1
a10,5,406.7,338.7,814.4,4870,30,60,1
a11,3,462.5,288.3,804.8,4933,30,60,1
a12,2,481.9,246.8,778.7,4389,30,60,1
a13,4,624.1,305.7,985.8,1034,10,20,0
a14,5,625.2,133.3,798.5,1074,10,20,0
a15,3,663.5,183.5,878.0,5390,30,60,1
a16,7,671.3,329.2,1036.5,5309,30,60,1
a17,7,673.9,183.1,903.0,5460,30,60,1
a18,3,684.8,192.7,904.5,881,10,20,0
a19,1,747.1,360.9,1143.0,829,10,20,0
a20,3,803.5,189.9,1044.4,1195,10,20,0
a21,1,1004.7,117.2,1168.9,1033,10,20,0
a22,4,1046.9,392.0,1490.9,961,10,20,0
a23,8,1123.2,162.9,1324.1,5500,30,60,1
a24,5,1186.7,150.5,1372.2,4865,30,60,1
a25,8,1248.4,355.3,1638.7,5500,30,60,1
a26,2,1266.0,317.7,1648.7,1102,10,20,0
a27,4,1340.5,245.3,1639.8,1006,10,20,0
a28,4,1441.1,352.0,1826.1,4642,30,60,1
a29,5,1479.8,340.2,1872.0,987,10,20,0
a30,1,1482.3,389.3,1902.6,1199,10,20,0
a31,1,1501.0,132.8,1664.8,1003,10,20,0
a32,8,1620.0,192.6,1883.6,5500,30,60,1
a33,3,1659.8,345.1,2066.9,5172,30,60,1
a34,1,1668.2,242.2,1972.4,710,10,20,0
a35,1,1768.1,192.1,2005.2,924,10,20,0
a36,3,1832.8,106.2,1998.0,4465,30,60,1
a37,6,1964.1,180.9,2196.0,5498,30,60,1
a38,4,2154.2,126.7,2308.9,5092,30,60,1
a39,4,2179.2,109.0,2349.2,1094,10,20,0
a40,1,2192.8,142.7,2378.5,1149,10,20,0
a41,8,2252.6,282.2,2577.8,5500,30,60,1
a42,6,2252.7,257.7,2562.4,5119,30,60,1
a43,7,2256.5,310.9,2616.4,5317,30,60,1
a44,5,2363.9,178.8,2580.7,5349,30,60,1
a45,6,2516.6,279.2,2853.8,5208,30,60,1
a46,2,2519.9,154.7,2738.6,1169,10,20,0
a47,5,2538.1,370.2,2959.3,5039,30,60,1
a48,5,2740.7,117.0,2897.7,1127,10,20,0
a49,7,2753.3,109.9,2906.2,5423,30,60,1
a50,8,2906.5,146.0,3105.5,5500,30,60,1
a51,5,2906.8,219.3,3163.1,4972,30,60,1
a52,5,2944.6,199.7,3169.3,1040,10,20,0
a53,1,3040.8,316.1,3403.9,995,10,20,0
a54,3,3221.1,207.0,3496.1,927,10,20,0
a55,8,3289.5,144.3,3490.8,5500,30,60,1
