f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,1.4,118.5,183.9,1147,10,20,0
a04,3,123.4,395.2,563.6,865,10,20,0
a05,2,215.4,184.9,458.3,5261,30,60,1
a06,1,224.0,331.3,594.3,5487,30,60,1
a07,1,350.0,229.9,610.9,951,10,20,0
a08,8,451.4,251.2,766.6,5500,30,60,1
a09,1,455.8,336.7,820.5,1141,10,20,0
a10,2,645.9,128.5,836.4,921,10,20,0
a11,2,655.9,256.9,979.8,1000,10,20,0
a12,7,705.1,306.3,1058.4,5488,30,60,1
a13,3,736.1,162.8,927.9,4673,30,60,1
a14,8,839.7,116.1,1022.8,5500,30,60,1
a15,1,862.9,247.7,1136.6,1042,10,20,0
a16,7,905.7,248.8,1218.5,5321,30,60,1
a17,6,949.3,177.2,1175.5,5184,30,60,1
a18,8,1048.5,355.6,1466.1,5500,30,60,1
a19,1,1171.7,231.2,1450.9,1144,10,20,0
a20,5,1447.2,342.6,1834.8,1086,10,20,0
a21,4,1455.6,248.6,1755.2,5251,30,60,1
a22,4,1463.3,234.8,1756.1,1158,10,20,0
