f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,1,20.0,104.6,164.6,980,10,20,0
a04,1,151.2,357.1,549.3,832,10,20,0
a05,5,238.7,179.4,464.1,5077,30,60,1
a06,8,262.5,202.9,497.4,5500,30,60,1
a07,4,484.6,338.9,848.5,4798,30,60,1
a08,1,770.4,117.6,914.0,1115,10,20,0
a09,8,828.7,216.1,1080.8,5500,30,60,1
a10,7,901.0,318.4,1284.4,5338,30,60,1
a11,4,1097.7,213.9,1374.6,5421,30,60,1
a12,2,1136.8,234.6,1415.4,824,10,20,0
a13,6,1229.1,149.6,1438.7,1128,10,20,0
a14,3,1251.3,399.8,1694.1,862,10,20,0
a15,5,1396.1,239.4,1691.5,5242,30,60,1
a16,6,1491.6,232.3,1749.9,5393,30,60,1
a17,2,1565.0,306.4,1922.4,1110,10,20,0
a18,2,1641.8,298.6,1993.4,5179,30,60,1
a19,4,1707.3,312.9,2082.2,5144,30,60,1
a20,2,1725.1,280.4,2034.5,5288,30,60,1
a21,6,1746.1,114.3,1931.4,1133,10,20,0
a22,5,1900.0,373.8,2334.8,4951,30,60,1
a23,4,2037.0,119.6,2205.6,5217,30,60,1
a24,8,2401.5,157.5,2614.0,5500,30,60,1
a25,3,2623.2,290.1,2937.3,866,10,20,0
a26,8,2637.2,358.2,3028.4,5500,30,60,1
a27,2,2642.0,212.2,2891.2,842,10,20,0
a28,7,2722.0,266.1,3039.1,5375,30,60,1
a29,7,2752.8,393.2,3188.0,5473,30,60,1
a30,3,2809.2,217.7,3062.9,1146,10,20,0
a31,1,2871.6,377.1,3295.7,1128,10,20,0
a32,5,2897.0,322.3,3279.3,1166,10,20,0
a33,8,2916.7,272.7,3240.4,5500,30,60,1
a34,8,3204.0,217.0,3492.0,5500,30,60,1
a35,8,3230.5,146.3,3410.8,5500,30,60,1
a36,2,3544.8,213.8,3793.6,911,10,20,0
a37,4,3564.7,217.0,3841.7,1119,10,20,0
a38,8,3637.8,106.3,3801.1,5500,30,60,1
a39,3,3666.7,321.9,4015.6,971,10,20,0
a40,5,3750.0,346.7,4131.7,4920,30,60,1
a41,1,3962.4,317.4,4347.8,804,10,20,0
a42,8,4005.0,267.4,4324.4,5500,30,60,1
a43,3,4005.4,318.3,4387.7,897,10,20,0
a44,6,4140.8,350.4,4562.2,1089,10,20,0
a45,4,4203.0,316.4,4572.4,5213,30,60,1
a46,7,4255.7,354.2,4654.9,5429,30,60,1
a47,3,4262.9,285.3,4611.2,5039,30,60,1
a48,7,4393.1,135.0,4567.1,5438,30,60,1
a49,3,4516.1,377.7,4944.8,998,10,20,0
a50,1,4524.6,155.1,4707.7,1029,10,20,0
a51,1,4531.2,333.7,4906.9,994,10,20,0
a52,6,4539.3,349.1,4957.4,5442,30,60,1
a53,7,4548.4,156.5,4761.9,5320,30,60,1
a54,8,4706.3,298.1,5052.4,1200,10,20,0
a55,3,4729.4,353.8,5150.2,5313,30,60,1
a56,3,4746.8,244.7,5050.5,946,10,20,0
a57,3,4749.1,166.8,4943.9,1013,10,20,0
a58,4,4967.6,119.3,5128.9,950,10,20,0
a59,5,4975.3,294.0,5322.3,4975,30,60,1
a60,6,5020.8,329.2,5374.0,1165,10,20,0
a61,3,5089.9,371.6,5522.5,897,10,20,0
a62,5,5172.5,263.3,5469.8,1041,10,20,0
a63,6,5201.1,186.0,5411.1,5075,30,60,1
a64,7,5240.4,282.4,5576.8,5458,30,60,1
a65,8,5429.3,133.0,5590.3,5500,30,60,1
a66,7,5528.4,267.4,5834.8,1133,10,20,0
a67,6,5632.7,300.8,5985.5,5493,30,60,1
a68,3,5661.6,383.6,6107.2,890,10,20,0
a69,3,5760.7,264.5,6093.2,953,10,20,0
a70,4,5780.0,131.5,5968.5,1053,10,20,0
a71,1,5784.9,125.2,5934.1,847,10,20,0
a72,1,5887.9,322.5,6269.4,894,10,20,0
a73,1,5915.4,205.3,6164.7,850,10,20,0
a74,4,5930.7,100.9,6085.6,1057,10,20,0
a75,7,5970.5,196.4,6208.9,1134,10,20,0
a76,3,5971.3,167.5,6203.8,4677,30,60,1
a77,5,5982.8,178.1,6220.9,1128,10,20,0
a78,3,6000.3,257.5,6291.8,4664,30,60,1
a79,7,6029.9,101.9,6193.8,5439,30,60,1
a80,6,6052.6,377.3,6469.9,1128,10,20,0
a81,4,6285.5,330.6,6661.1,1073,10,20,0
a82,1,6335.6,396.7,6776.3,952,10,20,0
