f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,133.0,333.0,496.0,5381,30,60,1
a04,6,227.3,378.1,633.4,1127,10,20,0
a05,4,473.6,341.3,864.9,1138,10,20,0
a06,7,513.8,101.8,641.6,5438,30,60,1
a07,7,580.5,250.8,878.3,5418,30,60,1
a08,2,687.0,211.8,932.8,1200,10,20,0
a09,8,700.7,258.6,983.3,5500,30,60,1
a10,5,838.9,201.5,1066.4,1097,10,20,0
a11,3,857.6,269.0,1174.6,1195,10,20,0
a12,8,1128.5,360.8,1558.3,5500,30,60,1
a13,8,1200.0,226.2,1493.2,5500,30,60,1
a14,7,1228.5,381.8,1663.3,5349,30,60,1
a15,3,1233.9,320.4,1593.3,1067,10,20,0
a16,2,1382.0,380.7,1824.7,936,10,20,0
a17,5,1488.9,128.0,1683.9,1134,10,20,0
a18,8,1514.7,397.3,1947.0,5500,30,60,1
a19,6,1808.0,327.0,2179.0,1066,10,20,0
a20,7,1867.5,252.9,2178.4,1147,10,20,0
a21,5,1913.7,341.2,2289.9,5223,30,60,1
a22,5,1997.2,118.1,2181.3,5325,30,60,1
a23,2,2067.5,361.6,2473.1,950,10,20,0
a24,4,2152.8,274.0,2481.8,5387,30,60,1
a25,8,2212.7,271.2,2554.9,5500,30,60,1
a26,6,2376.6,170.9,2606.5,1113,10,20,0
a27,8,2423.4,206.1,2661.5,5500,30,60,1
a28,8,2443.2,399.0,2868.2,5500,30,60,1
a29,2,2448.1,280.5,2774.6,1118,10,20,0
a30,7,2553.3,315.6,2905.9,5307,30,60,1
a31,5,2567.7,114.6,2720.3,5039,30,60,1
a32,7,2592.6,240.5,2858.1,1157,10,20,0
a33,5,2595.8,212.2,2848.0,5184,30,60,1
a34,1,2827.7,188.6,3072.3,1154,10,20,0
a35,3,2938.9,260.9,3247.8,5067,30,60,1
a36,3,2975.8,189.6,3215.4,4716,30,60,1
a37,3,2992.2,282.8,3317.0,1075,10,20,0
a38,5,3218.4,186.6,3464.0,5397,30,60,1
a39,2,3234.1,356.7,3662.8,806,10,20,0
a40,5,3449.4,370.0,3863.4,5310,30,60,1
a41,8,3453.6,277.3,3796.9,5500,30,60,1
a42,6,3487.0,342.4,3855.4,5110,30,60,1
a43,6,3565.3,185.7,3807.0,1173,10,20,0
a44,5,3593.6,245.2,3871.8,1173,10,20,0
a45,4,3695.5,260.0,3986.5,965,10,20,0
a46,5,3742.1,323.0,4093.1,5235,30,60,1
a47,6,3805.8,337.3,4198.1,5134,30,60,1
a48,7,3889.5,274.4,4194.9,5477,30,60,1
a49,3,4059.9,128.5,4252.4,1008,10,20,0
a50,5,4216.4,255.5,4503.9,1016,10,20,0
a51,4,4316.1,142.7,4487.8,1169,10,20,0
a52,1,4428.7,220.5,4718.2,795,10,20,0
a53,4,4565.3,325.9,4947.2,1200,10,20,0
a54,6,4819.2,195.8,5086.0,5311,30,60,1
a55,1,4921.3,370.4,5358.7,882,10,20,0
a56,2,4957.7,126.1,5148.8,988,10,20,0
a57,2,4974.7,103.5,5150.2,1136,10,20,0
a58,2,5131.8,377.4,5580.2,1016,10,20,0
a59,1,5165.1,154.6,5351.7,1020,10,20,0
a60,5,5176.2,214.6,5420.8,1024,10,20,0
a61,8,5197.1,178.3,5440.4,5500,30,60,1
a62,3,5375.0,181.4,5611.4,1015,10,20,0
a63,2,5598.6,387.0,6056.6,1200,10,20,0
a64,3,5612.5,245.5,5907.0,4809,30,60,1
a65,4,5617.2,101.3,5779.5,960,10,20,0
a66,8,5655.4,274.0,5998.4,5500,30,60,1
a67,5,5804.3,377.8,6209.1,1193,10,20,0
a68,4,5826.7,362.7,6236.4,995,10,20,0
a69,3,5844.8,258.8,6171.6,4684,30,60,1
a70,7,5883.4,105.8,6013.2,5302,30,60,1
a71,8,5925.7,319.3,6279.0,5500,30,60,1
a72,5,5967.3,207.9,6236.2,1065,10,20,0
a73,5,5994.7,146.6,6208.3,5442,30,60,1
a74,3,6073.4,218.0,6322.4,1031,10,20,0
a75,2,6101.9,326.2,6468.1,1192,10,20,0
a76,8,6106.7,392.2,6530.9,5500,30,60,1
a77,2,6129.1,352.1,6513.2,797,10,20,0
a78,1,6145.6,195.8,6413.4,710,10,20,0
a79,6,6239.8,104.9,6406.7,1134,10,20,0
a80,4,6258.9,130.0,6437.9,5126,30,60,1
a81,6,6262.2,395.2,6708.4,1100,10,20,0
a82,2,6506.8,325.8,6877.6,1188,10,20,0
a83,2,6588.4,235.5,6886.9,1152,10,20,0
a84,6,6625.9,230.6,6911.5,1070,10,20,0
a85,7,6661.8,334.9,7024.7,1146,10,20,0
a86,8,6707.2,119.5,6880.7,5500,30,60,1
a87,8,6729.0,209.9,7010.9,5500,30,60,1
a88,4,6807.3,277.2,7119.5,1043,10,20,0
a89,4,6836.3,312.3,7188.6,1091,10,20,0
a90,8,6861.3,172.9,7077.2,5500,30,60,1
a91,6,6906.5,158.9,7115.4,5171,30,60,1
a92,2,7256.1,290.2,7581.3,1101,10,20,0
a93,3,7426.4,181.6,7665.0,1178,10,20,0
a94,7,7434.3,181.1,7657.4,5401,30,60,1
a95,7,7461.2,350.7,7883.9,1141,10,20,0
a96,7,7466.4,305.1,7834.5,5299,30,60,1
a97,6,7584.5,360.9,8016.4,5414,30,60,1
a98,2,7676.6,176.6,7885.2,906,10,20,0
a99,4,7856.2,325.7,8205.9,5078,30,60,1
a100,1,7890.4,202.1,8161.5,997,10,20,0
a101,1,7916.8,184.0,8124.8,784,10,20,0
a102,2,7936.8,163.1,8143.9,1010,10,20,0
