f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,200.4,161.6,420.0,1198,10,20,0
a04,4,269.0,300.0,618.0,1135,10,20,0
a05,6,434.3,342.9,843.2,5149,30,60,1
a06,7,445.7,262.8,740.5,5362,30,60,1
a07,2,474.3,196.5,720.8,971,10,20,0
a08,2,533.8,309.8,903.6,1070,10,20,0
a09,1,620.1,249.3,902.4,878,10,20,0
a10,6,689.8,275.3,1008.1,5330,30,60,1
a11,8,711.9,299.0,1078.9,5500,30,60,1
a12,2,774.1,293.5,1111.6,1022,10,20,0
a13,6,853.5,329.3,1254.8,5434,30,60,1
a14,2,970.8,383.9,1422.7,952,10,20,0
a15,3,972.8,305.7,1337.5,1017,10,20,0
a16,6,974.9,184.9,1219.8,5378,30,60,1
a17,6,1161.9,371.0,1597.9,1143,10,20,0
a18,7,1303.7,173.6,1505.3,5324,30,60,1
a19,4,1351.8,271.4,1685.2,1008,10,20,0
a20,3,1483.9,279.7,1827.6,979,10,20,0
a21,5,1548.8,184.2,1800.0,1057,10,20,0
a22,1,1550.5,331.8,1953.3,1052,10,20,0
