f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,8,26.0,160.8,252.8,5500,30,60,1
a04,2,175.6,203.0,449.6,1008,10,20,0
a05,3,221.8,135.2,385.0,1177,10,20,0
a06,6,229.9,133.8,427.7,5137,30,60,1
a07,3,260.2,304.5,618.7,5029,30,60,1
a08,3,268.6,357.3,651.9,866,10,20,0
a09,5,697.8,337.5,1106.3,1122,10,20,0
a10,8,724.9,112.1,869.0,1200,10,20,0
a11,3,733.1,130.5,903.6,929,10,20,0
a12,4,846.9,254.3,1140.2,1177,10,20,0
a13,4,886.5,291.6,1245.1,1024,10,20,0
a14,3,1163.5,128.8,1356.3,1087,10,20,0
a15,8,1240.4,338.1,1645.5,5500,30,60,1
a16,3,1286.8,106.9,1447.7,1149,10,20,0
a17,1,1459.9,295.1,1790.0,1140,10,20,0
a18,5,1548.1,254.6,1848.7,1134,10,20,0
a19,4,1551.1,140.0,1728.1,1086,10,20,0
a20,7,1582.6,194.8,1823.4,5351,30,60,1
a21,5,1616.9,173.1,1850.0,1166,10,20,0
a22,4,1617.5,265.5,1944.0,1108,10,20,0
a23,4,1683.5,177.3,1911.8,915,10,20,0
a24,8,1764.9,322.9,2123.8,5500,30,60,1
a25,2,1940.2,363.2,2342.4,912,10,20,0
a26,3,1950.8,120.5,2106.3,1132,10,20,0
a27,7,2019.0,367.6,2418.6,5447,30,60,1
a28,4,2103.9,268.9,2399.8,1178,10,20,0
a29,1,2147.6,339.8,2525.4,834,10,20,0
a30,8,2173.1,148.1,2363.2,5500,30,60,1
a31,7,2221.6,257.6,2516.2,5355,30,60,1
a32,4,2223.9,295.8,2546.7,959,10,20,0
