f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,2,397.4,152.2,615.6,837,10,20,0
a04,4,495.0,341.7,883.7,959,10,20,0
a05,7,551.2,106.5,693.7,1179,10,20,0
a06,8,569.1,135.2,768.3,5500,30,60,1
a07,5,610.1,286.9,951.0,1117,10,20,0
a08,7,698.0,315.5,1037.5,5345,30,60,1
a09,7,871.2,205.6,1145.8,5288,30,60,1
a10,3,905.7,257.4,1223.1,1135,10,20,0
a11,6,977.4,346.5,1394.9,5479,30,60,1
a12,8,982.1,175.0,1183.1,5500,30,60,1
a13,1,982.3,174.1,1212.4,1066,10,20,0
a14,8,1078.5,314.4,1459.9,5500,30,60,1
a15,5,1101.6,319.6,1488.2,5342,30,60,1
a16,1,1125.3,233.2,1384.5,986,10,20,0
a17,7,1154.0,110.7,1331.7,1128,10,20,0
a18,6,1249.6,110.7,1422.3,5229,30,60,1
a19,2,1254.0,191.8,1511.8,4863,30,60,1
a20,7,1383.2,216.2,1637.4,1136,10,20,0
a21,8,1394.6,102.8,1546.4,5500,30,60,1
a22,8,1433.4,194.3,1693.7,5500,30,60,1
a23,3,1442.2,377.7,1852.9,934,10,20,0
a24,8,1471.6,105.8,1630.4,5500,30,60,1
a25,7,1508.8,289.8,1829.6,5360,30,60,1
a26,8,1546.3,306.1,1892.4,1200,10,20,0
a27,3,1720.5,242.7,2033.2,920,10,20,0
a28,1,1833.2,231.5,2122.7,991,10,20,0
a29,8,1850.1,251.2,2147.3,5500,30,60,1
a30,5,1888.7,142.0,2067.7,5328,30,60,1
a31,8,1908.7,381.3,2318.0,5500,30,60,1
a32,3,1961.3,214.6,2243.9,1054,10,20,0
a33,8,2014.2,347.2,2424.4,1200,10,20,0
a34,3,2239.6,147.0,2455.6,4679,30,60,1
a35,2,2499.8,298.7,2837.5,4585,30,60,1
a36,8,2508.6,203.2,2768.8,5500,30,60,1
a37,5,2746.7,116.0,2928.7,1082,10,20,0
