f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,2,139.1,339.2,526.3,1002,10,20,0
a04,1,204.9,202.0,455.9,863,10,20,0
a05,8,358.1,236.4,632.5,5500,30,60,1
a06,7,365.4,154.7,569.1,5430,30,60,1
a07,5,397.1,306.6,765.7,5074,30,60,1
a08,8,616.2,132.4,783.6,5500,30,60,1
a09,7,624.3,141.6,811.9,5493,30,60,1
a10,6,665.5,172.5,873.0,5250,30,60,1
a11,7,713.6,175.3,943.9,5425,30,60,1
a12,8,729.3,319.3,1084.6,5500,30,60,1
a13,8,730.5,328.9,1124.4,5500,30,60,1
a14,8,754.2,209.8,1022.0,1200,10,20,0
a15,2,889.9,168.2,1087.1,4366,30,60,1
a16,6,937.3,133.9,1129.2,5095,30,60,1
a17,7,1265.6,388.0,1708.6,5476,30,60,1
a18,1,1268.8,207.1,1539.9,832,10,20,0
a19,8,1429.6,345.3,1830.9,5500,30,60,1
a20,2,1510.8,224.6,1794.4,1039,10,20,0
a21,5,1532.5,216.5,1789.0,5309,30,60,1
a22,5,1558.7,334.0,1921.7,5062,30,60,1
a23,1,1573.5,309.7,1943.2,874,10,20,0
a24,7,1685.8,242.2,1976.0,5463,30,60,1
a25,1,1717.4,247.4,2024.8,795,10,20,0
a26,4,1787.2,201.6,2031.8,1175,10,20,0
a27,7,1890.9,395.5,2315.4,5385,30,60,1
a28,7,1927.4,134.5,2126.9,5388,30,60,1
a29,7,1999.5,331.8,2390.3,1170,10,20,0
a30,7,2044.7,158.2,2260.9,5450,30,60,1
a31,8,2216.6,257.9,2519.5,5500,30,60,1
a32,5,2384.3,340.5,2767.8,5257,30,60,1
