f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,7,26.9,345.2,401.1,5423,30,60,1
a04,1,52.1,254.6,347.7,1014,10,20,0
a05,4,102.4,348.2,489.6,1143,10,20,0
a06,2,111.5,331.5,468.0,4830,30,60,1
a07,4,175.7,121.7,343.4,1124,10,20,0
a08,2,210.9,118.6,371.5,1017,10,20,0
a09,7,288.8,285.8,633.6,1194,10,20,0
a10,2,329.7,276.4,643.1,1184,10,20,0
a11,2,496.9,264.2,812.1,1174,10,20,0
a12,7,522.9,330.7,917.6,5445,30,60,1
a13,2,604.4,366.8,1041.2,5084,30,60,1
a14,4,613.4,347.4,1023.8,1070,10,20,0
a15,2,644.0,152.0,820.0,1082,10,20,0
a16,8,975.1,263.3,1277.4,5500,30,60,1
a17,1,991.5,226.3,1258.8,1042,10,20,0
a18,3,1162.2,269.7,1457.9,1075,10,20,0
a19,6,1307.3,107.4,1482.7,5346,30,60,1
a20,3,1319.6,183.1,1552.7,5471,30,60,1
a21,2,1359.5,295.0,1695.5,943,10,20,0
a22,6,1367.4,175.8,1574.2,5281,30,60,1
a23,8,1373.6,106.8,1543.4,5500,30,60,1
a24,7,1652.7,280.4,1975.1,5304,30,60,1
a25,7,1706.3,383.6,2140.9,5427,30,60,1
a26,2,1772.8,333.4,2160.2,980,10,20,0
a27,8,1936.1,292.4,2261.5,5500,30,60,1
a28,3,1987.4,328.5,2352.9,1044,10,20,0
a29,5,2004.3,235.6,2273.9,1095,10,20,0
a30,4,2046.6,336.5,2423.1,1122,10,20,0
a31,8,2065.4,314.2,2416.6,5500,30,60,1
a32,2,2097.8,327.7,2481.5,1079,10,20,0
a33,5,2123.9,348.6,2520.5,992,10,20,0
a34,4,2138.4,391.9,2583.3,1161,10,20,0
a35,1,2272.5,104.1,2443.6,942,10,20,0
a36,5,2279.5,356.7,2679.2,5164,30,60,1
a37,6,2339.0,392.7,2794.7,5270,30,60,1
a38,4,2396.1,192.9,2621.0,4642,30,60,1
a39,5,2573.0,223.7,2864.7,1050,10,20,0
a40,6,2600.2,123.0,2748.2,1161,10,20,0
a41,8,2747.4,121.2,2935.6,5500,30,60,1
a42,8,2902.5,214.6,3159.1,5500,30,60,1
a43,5,2998.4,276.2,3344.6,1067,10,20,0
a44,7,3118.2,309.2,3453.4,1186,10,20,0
a45,6,3132.1,120.9,3310.0,5397,30,60,1
a46,5,3326.3,128.2,3502.5,1098,10,20,0
a47,2,3377.4,388.7,3798.1,976,10,20,0
a48,3,3398.8,199.9,3636.7,4558,30,60,1
a49,1,3408.3,252.0,3709.3,734,10,20,0
a50,1,3527.7,227.3,3819.0,912,10,20,0
a51,1,3555.7,214.5,3834.2,994,10,20,0
a52,5,3570.7,240.4,3876.1,1096,10,20,0
a53,4,3647.3,203.9,3897.2,1090,10,20,0
a54,5,3690.7,254.5,3972.2,1146,10,20,0
a55,1,3796.1,308.8,4168.9,851,10,20,0
a56,6,3870.5,286.0,4221.5,1096,10,20,0
a57,2,3978.8,336.7,4370.5,851,10,20,0
a58,3,3979.2,196.1,4204.3,1033,10,20,0
a59,2,3999.7,223.1,4289.8,1064,10,20,0
a60,1,4014.9,188.4,4242.3,864,10,20,0
a61,3,4034.9,231.7,4315.6,890,10,20,0
a62,2,4175.3,248.9,4493.2,883,10,20,0
a63,3,4443.8,128.7,4631.5,952,10,20,0
a64,3,4457.0,173.5,4672.5,950,10,20,0
a65,3,4498.4,192.5,4748.9,1044,10,20,0
a66,1,4501.5,200.2,4768.7,1095,10,20,0
