f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,1,1.3,107.3,137.6,1197,10,20,0
a04,2,19.3,115.2,158.5,886,10,20,0
a05,8,175.2,199.9,417.1,5500,30,60,1
a06,3,313.0,190.7,528.7,849,10,20,0
a07,3,750.1,193.7,980.8,5343,30,60,1
a08,6,787.6,284.8,1118.4,5329,30,60,1
a09,7,878.9,270.8,1178.7,5399,30,60,1
a10,1,1023.8,107.1,1198.9,837,10,20,0
a11,7,1026.8,352.8,1407.6,5415,30,60,1
a12,5,1035.4,300.4,1394.8,1148,10,20,0
a13,2,1119.8,153.7,1342.5,1173,10,20,0
a14,1,1195.8,227.9,1448.7,881,10,20,0
a15,7,1264.1,295.5,1603.6,5364,30,60,1
a16,8,1422.9,284.2,1742.1,5500,30,60,1
a17,2,1523.8,208.2,1795.0,806,10,20,0
a18,4,1617.8,125.2,1798.0,1197,10,20,0
a19,5,1682.9,382.7,2097.6,988,10,20,0
a20,5,1689.1,283.5,2028.6,5019,30,60,1
a21,3,1786.4,200.6,2018.0,5440,30,60,1
a22,8,1901.8,326.7,2264.5,5500,30,60,1
a23,6,2040.2,219.2,2316.4,5265,30,60,1
a24,8,2054.4,184.5,2288.9,5500,30,60,1
a25,4,2119.8,160.7,2321.5,1052,10,20,0
a26,1,2281.9,137.4,2489.3,1156,10,20,0
a27,6,2301.0,300.6,2637.6,1081,10,20,0
a28,1,2384.6,365.5,2788.1,773,10,20,0
a29,2,2608.4,199.6,2837.0,810,10,20,0
a30,6,2673.7,166.0,2883.7,5271,30,60,1
a31,5,2992.7,163.6,3195.3,1084,10,20,0
a32,5,3009.1,181.1,3237.2,1199,10,20,0
a33,6,3023.7,215.8,3303.5,5450,30,60,1
a34,2,3335.4,373.8,3769.2,1155,10,20,0
a35,4,3342.5,213.5,3580.0,943,10,20,0
a36,3,3469.7,278.6,3820.3,846,10,20,0
a37,6,3481.1,306.0,3833.1,5395,30,60,1
a38,7,3575.5,318.5,3950.0,5409,30,60,1
a39,3,3628.0,233.4,3924.4,1165,10,20,0
a40,8,3681.6,163.7,3887.3,5500,30,60,1
a41,2,3770.7,268.2,4065.9,5188,30,60,1
a42,3,3783.9,306.4,4135.3,887,10,20,0
a43,2,3913.6,167.1,4148.7,1022,10,20,0
a44,6,3956.4,267.7,4270.1,5377,30,60,1
a45,3,3957.9,203.6,4189.5,1149,10,20,0
a46,7,4161.8,222.1,4449.9,1179,10,20,0
a47,8,4228.5,345.0,4599.5,5500,30,60,1
a48,5,4283.1,395.5,4727.6,5009,30,60,1
a49,8,4390.1,100.3,4540.4,1200,10,20,0
a50,1,4412.3,198.1,4682.4,705,10,20,0
a51,2,4470.6,130.6,4650.2,4437,30,60,1
a52,7,4647.1,194.0,4875.1,5482,30,60,1
a53,2,4685.9,308.3,5019.2,4567,30,60,1
a54,7,4818.9,258.9,5114.8,5301,30,60,1
a55,3,4842.5,280.2,5189.7,1107,10,20,0
a56,5,4843.4,329.4,5223.8,1172,10,20,0
a57,2,4887.9,331.9,5243.8,950,10,20,0
a58,2,4901.9,257.6,5189.5,1148,10,20,0
a59,1,4905.6,375.0,5323.6,831,10,20,0
a60,5,4921.6,325.7,5302.3,5023,30,60,1
a61,5,5018.5,258.2,5328.7,5132,30,60,1
a62,7,5039.1,331.0,5441.1,5391,30,60,1
a63,4,5089.9,376.9,5497.8,4834,30,60,1
