f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,6,41.4,157.7,263.1,5397,30,60,1
a04,1,89.0,138.7,252.7,832,10,20,0
a05,3,94.2,357.9,514.1,1193,10,20,0
a06,4,245.4,173.2,471.6,5334,30,60,1
a07,1,434.9,151.7,622.6,1110,10,20,0
a08,3,460.0,257.2,744.2,917,10,20,0
a09,8,606.5,198.5,869.0,5500,30,60,1
a10,4,827.4,365.9,1262.3,1045,10,20,0
a11,1,868.7,286.8,1209.5,1010,10,20,0
a12,1,900.8,242.3,1182.1,965,10,20,0
a13,1,909.3,364.4,1345.7,930,10,20,0
a14,7,918.4,210.5,1197.9,1193,10,20,0
a15,1,921.0,393.8,1378.8,1114,10,20,0
a16,2,974.7,304.6,1308.3,1018,10,20,0
a17,5,1036.0,363.6,1453.6,1137,10,20,0
a18,5,1055.7,106.8,1206.5,1023,10,20,0
a19,4,1103.6,319.2,1449.8,1199,10,20,0
a20,4,1132.3,334.2,1532.5,1123,10,20,0
a21,2,1256.0,277.1,1589.1,5258,30,60,1
a22,6,1278.2,193.5,1512.7,5116,30,60,1
a23,6,1311.2,145.4,1499.6,1161,10,20,0
a24,2,1411.5,218.1,1683.6,797,10,20,0
a25,8,1517.1,286.8,1851.9,5500,30,60,1
a26,2,1547.4,388.4,2000.8,1187,10,20,0
a27,4,1758.5,236.3,2044.8,971,10,20,0
a28,2,1808.5,100.7,1969.2,795,10,20,0
a29,5,2110.7,193.2,2356.9,1100,10,20,0
a30,3,2115.8,213.9,2357.7,4645,30,60,1
a31,6,2143.4,257.8,2471.2,5453,30,60,1
a32,6,2221.7,173.2,2437.9,5140,30,60,1
a33,2,2331.4,274.3,2635.7,4545,30,60,1
a34,3,2395.3,291.0,2711.3,4504,30,60,1
a35,1,2419.0,145.2,2601.2,817,10,20,0
a36,8,2478.2,352.7,2866.9,5500,30,60,1
a37,5,2563.0,287.0,2901.0,1023,10,20,0
a38,7,2725.1,188.5,2974.6,5341,30,60,1
a39,4,2766.8,145.3,2939.1,5373,30,60,1
a40,8,2805.9,292.5,3136.4,5500,30,60,1
a41,5,2861.7,260.1,3185.8,5071,30,60,1
a42,8,3041.5,146.2,3230.7,5500,30,60,1
a43,3,3045.6,364.6,3441.2,1161,10,20,0
a44,6,3100.1,286.1,3448.2,1152,10,20,0
a45,1,3158.3,318.6,3525.9,1116,10,20,0
a46,6,3199.1,181.8,3440.9,5449,30,60,1
a47,4,3200.4,367.8,3607.2,4967,30,60,1
a48,2,3205.4,353.8,3595.2,1030,10,20,0
a49,7,3264.3,130.9,3442.2,5472,30,60,1
a50,5,3290.0,297.6,3652.6,1081,10,20,0
a51,1,3294.7,143.8,3502.5,715,10,20,0
a52,7,3377.3,243.9,3672.2,5371,30,60,1
a53,6,3618.3,207.8,3851.1,5153,30,60,1
a54,3,3779.7,167.1,4009.8,5054,30,60,1
a55,6,3913.8,320.8,4295.6,1119,10,20,0
a56,2,3987.6,385.2,4405.8,904,10,20,0
a57,6,4002.7,313.2,4345.9,5109,30,60,1
a58,3,4167.4,222.7,4442.1,4936,30,60,1
a59,5,4380.7,311.7,4733.4,5232,30,60,1
a60,1,4410.1,215.8,4649.9,1010,10,20,0
a61,4,4590.6,328.1,4955.7,5377,30,60,1
a62,6,4660.6,307.2,5035.8,5348,30,60,1
