f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,5,18.7,227.5,295.2,5217,30,60,1
a04,7,20.2,207.8,284.0,5350,30,60,1
a05,6,56.3,226.7,340.0,5318,30,60,1
a06,1,147.9,380.3,570.2,1185,10,20,0
a07,5,244.6,218.3,503.9,1150,10,20,0
a08,1,419.7,298.9,757.6,882,10,20,0
a09,1,476.4,392.7,905.1,740,10,20,0
a10,6,565.4,321.0,943.4,5377,30,60,1
a11,4,593.2,310.1,928.3,1038,10,20,0
a12,8,817.9,327.4,1198.3,5500,30,60,1
a13,2,932.1,238.3,1194.4,1073,10,20,0
a14,6,936.9,137.6,1105.5,5464,30,60,1
a15,8,995.2,169.1,1210.3,5500,30,60,1
a16,5,1002.2,267.8,1304.0,1110,10,20,0
a17,3,1025.4,396.3,1469.7,1157,10,20,0
