f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,4,41.7,115.3,182.0,4954,30,60,1
a04,7,60.8,392.7,496.5,1199,10,20,0
a05,5,115.6,360.6,539.2,1071,10,20,0
a06,2,305.9,388.4,755.3,5149,30,60,1
a07,8,386.2,294.2,710.4,1200,10,20,0
a08,1,409.1,322.8,759.9,4177,30,60,1
a09,3,756.9,385.3,1209.2,5292,30,60,1
a10,3,829.1,381.2,1282.3,5222,30,60,1
a11,5,980.3,359.8,1373.1,4939,30,60,1
a12,5,983.6,134.4,1157.0,5435,30,60,1
a13,4,1006.0,204.8,1236.8,5122,30,60,1
a14,4,1091.2,276.5,1420.7,1015,10,20,0
a15,8,1140.5,303.9,1499.4,5500,30,60,1
a16,7,1160.8,341.6,1573.4,5393,30,60,1
a17,5,1168.0,102.9,1310.9,5064,30,60,1
a18,4,1174.7,221.3,1433.0,942,10,20,0
a19,8,1222.7,287.6,1551.3,1200,10,20,0
a20,7,1317.0,268.0,1621.0,1178,10,20,0
a21,7,1374.6,172.7,1600.3,5458,30,60,1
a22,1,1390.3,394.9,1816.2,775,10,20,0
a23,8,1408.1,122.5,1555.6,5500,30,60,1
a24,7,1428.0,302.5,1788.5,1152,10,20,0
a25,7,1451.7,239.1,1739.8,5475,30,60,1
a26,7,1481.2,208.5,1717.7,5307,30,60,1
a27,8,1532.1,375.8,1953.9,5500,30,60,1
a28,8,1538.7,230.4,1838.1,5500,30,60,1
a29,2,1543.0,287.4,1897.4,851,10,20,0
a30,7,1568.8,128.8,1743.6,1167,10,20,0
a31,8,1601.2,367.2,1995.4,5500,30,60,1
a32,4,1632.4,163.2,1856.6,5032,30,60,1
a33,7,1672.9,194.2,1895.1,5495,30,60,1
a34,4,1785.6,151.0,1974.6,4754,30,60,1
a35,6,1902.6,230.6,2199.2,5484,30,60,1
a36,3,2107.3,113.4,2289.7,1153,10,20,0
a37,1,2267.6,286.3,2606.9,861,10,20,0
a38,5,2312.1,207.4,2549.5,5466,30,60,1
a39,5,2338.3,230.9,2615.2,1145,10,20,0
a40,5,2497.5,177.6,2706.1,5035,30,60,1
a41,1,2535.7,227.0,2798.7,741,10,20,0
a42,7,2561.5,218.5,2805.0,5313,30,60,1
a43,4,2679.9,129.5,2846.4,1022,10,20,0
a44,7,2852.2,108.1,3012.3,5285,30,60,1
a45,8,3165.1,171.9,3365.0,5500,30,60,1
a46,5,3263.5,138.8,3444.3,1159,10,20,0
a47,1,3571.2,131.6,3753.8,707,10,20,0
a48,2,3581.4,194.0,3810.4,5313,30,60,1
a49,6,3604.1,164.9,3813.0,1077,10,20,0
a50,1,3727.8,173.8,3939.6,962,10,20,0
a51,4,3910.5,306.6,4287.1,5421,30,60,1
a52,7,3972.8,341.9,4350.7,5382,30,60,1
a53,8,4169.0,327.6,4568.6,5500,30,60,1
a54,7,4239.2,123.0,4421.2,5400,30,60,1
a55,4,4240.4,110.2,4416.6,1041,10,20,0
a56,3,4386.6,249.1,4683.7,991,10,20,0
a57,7,4520.6,187.6,4765.2,1186,10,20,0
a58,1,4533.0,127.5,4684.5,702,10,20,0
a59,4,4555.6,243.8,4848.4,983,10,20,0
a60,6,4670.6,210.3,4913.9,1172,10,20,0
a61,8,4717.4,128.7,4893.1,5500,30,60,1
a62,7,4725.5,269.0,5031.5,5355,30,60,1
