f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,8,145.0,365.2,568.2,5500,30,60,1
a04,5,297.7,384.2,737.9,5049,30,60,1
a05,4,552.1,242.0,823.1,1175,10,20,0
a06,1,595.4,291.8,918.2,1189,10,20,0
a07,8,692.7,296.3,1061.0,5500,30,60,1
a08,3,750.2,140.5,948.7,1107,10,20,0
a09,8,773.6,309.2,1118.8,5500,30,60,1
a10,4,796.3,323.2,1182.5,931,10,20,0
a11,2,841.3,234.2,1136.5,4790,30,60,1
a12,5,892.0,262.1,1180.1,1017,10,20,0
a13,1,1113.9,243.5,1403.4,881,10,20,0
a14,1,1118.1,191.9,1361.0,1170,10,20,0
a15,6,1134.1,175.9,1375.0,1108,10,20,0
a16,1,1143.6,107.4,1315.0,1181,10,20,0
a17,4,1190.0,365.2,1590.2,5456,30,60,1
