f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,4,13.6,262.9,306.5,5022,30,60,1
a04,6,60.5,320.1,426.6,5139,30,60,1
a05,3,85.8,128.9,275.7,927,10,20,0
a06,5,137.3,104.7,285.0,5096,30,60,1
a07,7,161.1,390.9,578.0,5288,30,60,1
a08,4,209.6,327.5,580.1,1160,10,20,0
a09,5,231.3,154.0,427.3,5303,30,60,1
a10,1,329.8,381.5,742.3,1165,10,20,0
a11,6,476.1,323.6,830.7,5396,30,60,1
a12,6,483.4,266.2,816.6,1189,10,20,0
a13,4,487.2,146.2,681.4,940,10,20,0
a14,1,535.2,382.3,969.5,1048,10,20,0
a15,4,603.2,211.1,867.3,5056,30,60,1
a16,5,639.8,162.0,833.8,1062,10,20,0
a17,2,653.6,131.4,852.0,945,10,20,0
a18,1,665.0,197.8,892.8,778,10,20,0
a19,5,680.6,175.2,883.8,5323,30,60,1
a20,7,706.0,165.7,918.7,1168,10,20,0
a21,4,899.0,367.7,1312.7,4827,30,60,1
a22,5,1001.8,222.0,1269.8,1099,10,20,0
a23,6,1223.0,288.5,1549.5,5268,30,60,1
a24,7,1292.7,187.1,1509.8,5292,30,60,1
a25,7,1643.8,131.3,1824.1,5307,30,60,1
a26,2,1671.7,111.8,1832.5,4950,30,60,1
a27,6,1743.8,170.3,1975.1,5195,30,60,1
a28,7,1751.7,216.2,1997.9,5327,30,60,1
a29,7,1926.4,291.4,2284.8,1196,10,20,0
a30,3,2068.0,218.8,2332.8,1038,10,20,0
a31,2,2245.6,322.6,2598.2,1009,10,20,0
a32,5,2378.5,114.2,2536.7,5124,30,60,1
a33,4,2649.5,294.0,3008.5,1184,10,20,0
a34,8,2667.9,259.0,2954.9,5500,30,60,1
a35,1,2680.5,102.2,2849.7,1090,10,20,0
a36,2,2731.5,301.9,3090.4,814,10,20,0
a37,2,2781.3,206.0,3026.3,5068,30,60,1
