f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,5,32.7,295.1,352.8,5314,30,60,1
a04,2,201.1,196.2,450.3,990,10,20,0
a05,7,221.3,335.3,598.6,5378,30,60,1
a06,6,263.5,298.3,586.8,5095,30,60,1
a07,3,286.6,259.7,570.3,5333,30,60,1
a08,1,296.6,272.5,604.1,5160,30,60,1
a09,6,387.4,327.1,765.5,1125,10,20,0
a10,6,421.2,215.5,707.7,1182,10,20,0
a11,5,606.0,244.4,882.4,5087,30,60,1
a12,1,651.4,129.2,829.6,998,10,20,0
a13,4,834.6,383.0,1255.6,932,10,20,0
a14,3,1034.6,363.9,1468.5,1040,10,20,0
a15,1,1070.8,373.4,1483.2,986,10,20,0
a16,1,1080.7,319.9,1437.6,1036,10,20,0
a17,8,1142.6,277.1,1482.7,5500,30,60,1
a18,8,1148.7,130.8,1336.5,5500,30,60,1
a19,4,1430.3,316.3,1798.6,5285,30,60,1
a20,7,1551.8,135.3,1731.1,5338,30,60,1
a21,2,1563.1,226.9,1837.0,1119,10,20,0
a22,7,1673.9,207.9,1943.8,5421,30,60,1
a23,5,1684.5,300.4,2055.9,4956,30,60,1
a24,1,1777.4,199.4,2043.8,732,10,20,0
a25,5,1829.7,381.7,2250.4,5439,30,60,1
a26,5,1922.2,212.1,2199.3,4969,30,60,1
a27,1,1941.3,141.4,2147.7,790,10,20,0
