f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,1,55.9,182.0,300.9,950,10,20,0
a04,8,373.9,273.6,716.5,5500,30,60,1
a05,4,390.8,250.6,687.4,5199,30,60,1
a06,8,452.2,137.3,648.5,5500,30,60,1
a07,7,476.6,229.6,760.2,1182,10,20,0
a08,4,477.8,398.5,939.3,980,10,20,0
a09,4,548.8,371.5,986.3,1053,10,20,0
a10,5,597.2,338.3,959.5,1114,10,20,0
a11,3,669.2,120.7,839.9,939,10,20,0
a12,1,742.5,118.4,884.9,895,10,20,0
a13,5,794.3,257.8,1076.1,1066,10,20,0
a14,5,794.8,247.8,1090.6,5166,30,60,1
a15,6,799.1,139.0,968.1,5448,30,60,1
a16,5,929.9,367.9,1353.8,1007,10,20,0
a17,7,972.3,225.4,1231.7,5296,30,60,1
a18,3,988.9,132.8,1145.7,962,10,20,0
a19,5,1171.2,308.5,1527.7,5489,30,60,1
a20,8,1237.8,109.7,1412.5,5500,30,60,1
a21,2,1356.4,192.3,1583.7,1184,10,20,0
a22,1,1384.7,332.7,1774.4,1066,10,20,0
a23,2,1444.9,277.9,1755.8,978,10,20,0
a24,4,1459.6,270.5,1766.1,1024,10,20,0
a25,6,1526.3,197.8,1775.1,5396,30,60,1
a26,8,1567.6,355.0,1977.6,5500,30,60,1
a27,6,1872.4,329.4,2263.8,5412,30,60,1
a28,2,1878.1,287.4,2216.5,1111,10,20,0
a29,2,1896.6,216.0,2144.6,838,10,20,0
a30,2,2024.2,382.6,2445.8,1115,10,20,0
a31,7,2030.7,394.2,2464.9,5364,30,60,1
a32,2,2127.1,358.9,2541.0,5448,30,60,1
a33,8,2127.3,199.4,2366.7,5500,30,60,1
a34,2,2163.5,249.2,2450.7,1117,10,20,0
a35,1,2198.8,393.5,2649.3,977,10,20,0
a36,1,2490.1,311.2,2862.3,787,10,20,0
a37,3,2540.9,270.9,2865.8,1108,10,20,0
a38,4,2618.6,304.6,2986.2,5462,30,60,1
a39,5,2644.9,226.7,2923.6,4880,30,60,1
a40,2,2671.5,142.6,2854.1,818,10,20,0
a41,8,2842.6,165.0,3039.6,5500,30,60,1
a42,1,2941.6,277.4,3286.0,922,10,20,0
a43,1,2972.7,331.0,3363.7,5177,30,60,1
a44,5,3058.3,238.6,3349.9,1151,10,20,0
a45,3,3065.0,315.1,3440.1,5256,30,60,1
a46,5,3147.7,141.1,3338.8,5312,30,60,1
a47,1,3185.6,249.9,3469.5,943,10,20,0
a48,8,3299.0,270.3,3603.3,1200,10,20,0
a49,4,3426.9,364.5,3823.4,988,10,20,0
a50,5,3501.6,327.9,3878.5,5107,30,60,1
a51,3,3571.7,249.7,3878.4,4541,30,60,1
a52,2,3583.4,241.4,3858.8,980,10,20,0
a53,1,3641.4,116.7,3784.1,4138,30,60,1
a54,4,3694.6,134.8,3876.4,993,10,20,0
a55,7,3711.5,153.2,3891.7,5286,30,60,1
a56,6,3746.9,273.6,4087.5,5373,30,60,1
a57,8,3848.0,162.0,4060.0,5500,30,60,1
a58,7,4013.9,193.7,4271.6,5288,30,60,1
a59,4,4089.1,374.0,4490.1,1080,10,20,0
a60,2,4181.4,312.4,4528.8,1165,10,20,0
a61,5,4270.0,139.8,4451.8,1155,10,20,0
a62,7,4287.4,358.4,4683.8,5356,30,60,1
a63,8,4465.8,398.1,4888.9,5500,30,60,1
a64,8,4512.1,155.5,4734.6,5500,30,60,1
a65,5,4591.8,288.7,4921.5,5241,30,60,1
a66,1,4698.0,122.0,4862.0,1109,10,20,0
a67,2,4908.2,374.5,5312.7,920,10,20,0
a68,3,5040.5,256.8,5338.3,982,10,20,0
a69,6,5136.4,300.7,5490.1,5452,30,60,1
a70,2,5175.7,115.1,5327.8,968,10,20,0
a71,7,5222.8,269.9,5552.7,5429,30,60,1
a72,1,5539.2,242.8,5828.0,1041,10,20,0
a73,3,5557.2,399.4,5998.6,1116,10,20,0
a74,4,5725.9,168.1,5938.0,1126,10,20,0
a75,3,5727.4,111.9,5904.3,1117,10,20,0
a76,4,5750.3,269.1,6089.4,4824,30,60,1
a77,8,5770.1,397.6,6203.7,5500,30,60,1
a78,4,5848.6,250.9,6156.5,4804,30,60,1
a79,5,5878.6,221.3,6162.9,1053,10,20,0
a80,5,5967.7,336.1,6339.8,4969,30,60,1
a81,6,6049.8,243.3,6343.1,1084,10,20,0
a82,2,6288.0,189.7,6511.7,5417,30,60,1
a83,5,6495.7,363.6,6905.3,1118,10,20,0
a84,6,6512.1,173.6,6739.7,1107,10,20,0
a85,3,6626.9,383.5,7058.4,962,10,20,0
a86,3,6889.1,250.6,7208.7,997,10,20,0
a87,5,6910.2,347.7,7290.9,5165,30,60,1
a88,1,6910.3,129.3,7070.6,794,10,20,0
a89,8,7088.1,105.4,7239.5,1200,10,20,0
a90,8,7091.4,374.8,7514.2,5500,30,60,1
a91,5,7109.2,346.8,7514.0,5459,30,60,1
a92,4,7114.2,370.5,7532.7,1143,10,20,0
a93,2,7284.1,280.8,7614.9,850,10,20,0
a94,4,7364.1,114.5,7512.6,1193,10,20,0
a95,8,7555.7,226.3,7809.0,5500,30,60,1
a96,3,7564.3,266.1,7863.4,1144,10,20,0
a97,7,7701.6,363.5,8111.1,1172,10,20,0
a98,5,7813.5,189.5,8072.0,1009,10,20,0
a99,7,7817.9,346.1,8207.0,5389,30,60,1
a100,2,7911.6,397.4,8335.0,1182,10,20,0
a101,1,7934.2,242.0,8220.2,1161,10,20,0
a102,6,7989.7,153.7,8173.4,5234,30,60,1
