f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,3,99.3,274.9,402.2,904,10,20,0
a04,3,340.7,251.3,622.0,1120,10,20,0
a05,4,389.7,394.2,822.9,5389,30,60,1
a06,7,641.6,276.1,985.7,5405,30,60,1
a07,4,645.4,361.2,1053.6,4838,30,60,1
a08,3,709.9,351.1,1130.0,4665,30,60,1
a09,2,759.5,356.1,1163.6,926,10,20,0
a10,3,838.9,129.6,1012.5,1003,10,20,0
a11,1,932.1,346.5,1339.6,839,10,20,0
a12,7,1028.4,373.7,1428.1,5406,30,60,1
a13,3,1089.0,194.9,1343.9,5007,30,60,1
a14,3,1099.8,165.7,1319.5,4464,30,60,1
a15,8,1177.9,387.2,1603.1,1200,10,20,0
a16,1,1211.8,295.0,1573.8,910,10,20,0
a17,4,1324.2,150.7,1524.9,954,10,20,0
a18,1,1331.0,358.2,1760.2,1171,10,20,0
a19,6,1610.6,162.1,1807.7,1094,10,20,0
a20,7,1762.5,249.5,2041.0,5442,30,60,1
a21,8,1868.3,316.3,2225.6,5500,30,60,1
a22,7,1882.6,355.2,2301.8,5327,30,60,1
a23,2,1935.2,142.4,2102.6,1005,10,20,0
a24,2,1995.8,385.1,2445.9,813,10,20,0
a25,6,2121.4,231.4,2415.8,1076,10,20,0
a26,8,2154.5,117.3,2327.8,5500,30,60,1
a27,3,2334.5,120.2,2506.7,1078,10,20,0
a28,3,2334.9,324.2,2723.1,1061,10,20,0
a29,7,2348.7,318.2,2737.9,5456,30,60,1
a30,2,2361.0,193.8,2584.8,1187,10,20,0
a31,5,2385.9,130.8,2578.7,1086,10,20,0
a32,3,2414.0,387.8,2863.8,1051,10,20,0
a33,7,2444.2,179.4,2688.6,5470,30,60,1
a34,7,2534.8,219.5,2784.3,1196,10,20,0
a35,6,2718.2,384.9,3149.1,1162,10,20,0
a36,4,2800.5,218.8,3085.3,937,10,20,0
a37,3,2929.2,397.6,3352.8,954,10,20,0
a38,4,2939.8,271.1,3266.9,1195,10,20,0
a39,4,2993.7,390.8,3446.5,5388,30,60,1
a40,5,3023.4,213.1,3298.5,1057,10,20,0
a41,6,3029.3,296.7,3394.0,5428,30,60,1
a42,4,3197.6,399.9,3624.5,5158,30,60,1
