Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,EP,P_Arr,P_Dep,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5.00,5.00,210.00,200.00,291.80,0.00,91.80,1000,0,20,65,60,2026-06-18 22:00
a02,1,16,18,0.00,0.00,30.00,5.00,160.00,150.00,160.00,0.00,10.00,1000,0,20,65,60,2026-06-18 22:00
a03,0,28,28,1.40,0.00,0.00,0.00,118.50,183.90,0.00,0.00,0.00,1147,10,20,65,60,2026-06-18 22:00
a04,0,18,20,61.50,0.00,0.00,0.00,395.20,501.70,0.00,0.00,0.00,865,10,20,65,60,2026-06-18 22:00
a05,1,16,18,106.80,106.80,5.00,32.00,184.90,349.70,291.70,0.00,0.00,5261,30,60,65,60,2026-06-18 22:00
a06,1,15,17,111.00,160.10,30.00,5.00,331.30,481.30,491.40,49.10,10.10,5487,30,60,65,60,2026-06-18 22:00
a07,1,15,17,173.10,173.10,30.00,27.00,229.90,434.00,403.00,0.00,0.00,951,10,20,65,60,2026-06-18 22:00
a08,0,48,49,223.00,0.00,0.00,0.00,251.20,538.20,0.00,0.00,0.00,5500,30,60,65,60,2026-06-18 22:00
a09,0,15,17,225.20,0.00,0.00,0.00,336.70,589.90,0.00,0.00,0.00,1141,10,20,65,60,2026-06-18 22:00
a10,0,16,18,318.80,0.00,0.00,0.00,128.50,509.30,0.00,0.00,0.00,921,10,20,65,60,2026-06-18 22:00
a11,1,16,18,323.70,323.70,5.00,5.00,256.90,647.60,580.60,0.00,0.00,1000,10,20,65,60,2026-06-18 22:00
a12,0,28,28,348.00,0.00,0.00,0.00,306.30,701.30,0.00,0.00,0.00,5488,30,60,65,60,2026-06-18 22:00
a13,1,18,20,363.20,363.20,5.00,28.00,162.80,555.00,526.00,0.00,0.00,4673,30,60,65,60,2026-06-18 22:00
a14,0,48,49,414.30,0.00,0.00,0.00,116.10,597.40,0.00,0.00,0.00,5500,30,60,65,60,2026-06-18 22:00
a15,0,15,17,425.70,0.00,0.00,0.00,247.70,699.40,0.00,0.00,0.00,1042,10,20,65,60,2026-06-18 22:00
a16,0,28,28,446.80,0.00,0.00,0.00,248.80,759.60,0.00,0.00,0.00,5321,30,60,65,60,2026-06-18 22:00
a17,1,25,30,468.20,491.50,28.00,5.00,177.20,694.40,668.70,23.30,0.00,5184,30,60,65,60,2026-06-18 22:00
a18,0,48,49,517.10,0.00,0.00,0.00,355.60,934.70,0.00,0.00,0.00,5500,30,60,65,60,2026-06-18 22:00
a19,1,15,17,577.80,580.70,5.00,5.00,231.20,857.00,811.90,2.90,0.00,1144,10,20,65,60,2026-06-18 22:00
a20,0,22,25,713.50,0.00,0.00,0.00,342.60,1101.10,0.00,0.00,0.00,1086,10,20,65,60,2026-06-18 22:00
a21,1,20,22,717.60,717.60,25.00,5.00,248.60,1017.20,966.20,0.00,0.00,5251,30,60,65,60,2026-06-18 22:00
a22,1,20,22,721.40,721.40,25.00,32.00,234.80,1014.20,956.20,0.00,0.00,1158,10,20,65,60,2026-06-18 22:00
